airport;day;number;status;quality;is_cargo;terminal;gate;scheduledTime;revisedTime;runwayTime;predictedTime;actualTime;estimatedTime
SVO;2026-09-01;SU 1512;Departed;Basic+Live;0;B;117;2026-09-01 01:40+03:00;2026-09-01 01:35+03:00;2026-09-01 01:54+03:00;;;
SVO;2026-09-01;UJ 708;Departed;Basic+Live;0;C;137;2026-09-01 00:20+03:00;2026-09-01 01:42+03:00;2026-09-01 01:59+03:00;;;
SVO;2026-09-01;SU 1936;Departed;Basic+Live;0;C;131;2026-09-01 01:50+03:00;2026-09-01 01:44+03:00;2026-09-01 02:01+03:00;;;
SVO;2026-09-01;DP 6501;Departed;Basic+Live;0;D;15;2026-08-31 23:40+03:00;2026-09-01 01:47+03:00;2026-09-01 01:57+03:00;;;
SVO;2026-09-01;DP 6569;Departed;Basic+Live;0;D;3;2026-09-01 00:15+03:00;2026-09-01 01:54+03:00;2026-09-01 02:06+03:00;;;
SVO;2026-09-01;DP 6561;Departed;Basic+Live;0;D;13;2026-08-31 23:55+03:00;2026-09-01 02:02+03:00;2026-09-01 02:10+03:00;;;
SVO;2026-09-01;SU 1054;Departed;Basic+Live;0;B;104;2026-09-01 02:10+03:00;2026-09-01 02:06+03:00;2026-09-01 02:13+03:00;;;
SVO;2026-09-01;SU 2148;Departed;Basic+Live;0;C;133;2026-09-01 02:15+03:00;2026-09-01 02:14+03:00;2026-09-01 02:31+03:00;;;
SVO;2026-09-01;SU 1172;Departed;Basic+Live;0;B;102;2026-09-01 02:20+03:00;2026-09-01 02:17+03:00;2026-09-01 02:26+03:00;;;
SVO;2026-09-01;SU 1466;Departed;Basic+Live;0;B;103;2026-09-01 02:20+03:00;2026-09-01 02:20+03:00;2026-09-01 02:35+03:00;;;
SVO;2026-09-01;SU 1784;Departed;Basic+Live;0;B;114;2026-09-01 02:40+03:00;2026-09-01 02:33+03:00;2026-09-01 03:01+03:00;;;
SVO;2026-09-01;SU 6591;Departed;Basic+Live;0;B;108;2026-09-01 02:55+03:00;2026-09-01 02:52+03:00;2026-09-01 03:05+03:00;;;
SVO;2026-09-01;FV 6591;Departed;Basic+Live;0;B;108;2026-09-01 02:55+03:00;2026-09-01 02:52+03:00;2026-09-01 03:05+03:00;;;
SVO;2026-09-01;XC 9111;Departed;Basic+Live;0;C;135;2026-09-01 02:45+03:00;2026-09-01 02:57+03:00;2026-09-01 03:12+03:00;;;
SVO;2026-09-01;JU 137;Departed;Basic+Live;0;C;127;2026-09-01 02:55+03:00;2026-09-01 03:07+03:00;2026-09-01 03:22+03:00;;;
SVO;2026-09-01;SU 1074;Departed;Basic+Live;0;B;107;2026-09-01 02:25+03:00;2026-09-01 04:19+03:00;2026-09-01 04:35+03:00;;;
SVO;2026-09-01;SU 1110;Departed;Basic+Live;0;B;121;2026-09-01 04:55+03:00;2026-09-01 04:42+03:00;2026-09-01 04:53+03:00;;;
SVO;2026-09-01;FV 6953;Departed;Basic+Live;0;C;140;2026-09-01 05:00+03:00;2026-09-01 04:54+03:00;2026-09-01 05:13+03:00;;;
SVO;2026-09-01;SU 6953;Departed;Basic+Live;0;C;140;2026-09-01 05:00+03:00;2026-09-01 04:54+03:00;2026-09-01 05:13+03:00;;;
SVO;2026-09-01;SU 1780;Departed;Basic+Live;0;B;122;2026-09-01 05:05+03:00;2026-09-01 04:55+03:00;2026-09-01 05:05+03:00;;;
SVO;2026-09-01;SU 1106;Departed;Basic+Live;0;B;118;2026-09-01 05:35+03:00;2026-09-01 05:29+03:00;2026-09-01 05:40+03:00;;;
SVO;2026-09-01;SU 1256;Departed;Basic+Live;0;B;113;2026-09-01 06:10+03:00;2026-09-01 06:02+03:00;2026-09-01 06:13+03:00;;;
SVO;2026-09-01;SU 1318;Departed;Basic+Live;0;B;123;2026-09-01 06:10+03:00;2026-09-01 06:07+03:00;2026-09-01 06:18+03:00;;;
SVO;2026-09-01;SU 1000;Departed;Basic+Live;0;B;103;2026-09-01 06:25+03:00;2026-09-01 06:25+03:00;2026-09-01 06:43+03:00;;;
SVO;2026-09-01;SU 1410;Departed;Basic+Live;0;B;104;2026-09-01 06:30+03:00;2026-09-01 06:26+03:00;2026-09-01 06:39+03:00;;;
SVO;2026-09-01;SU 1026;Departed;Basic+Live;0;B;101;2026-09-01 06:55+03:00;2026-09-01 06:44+03:00;2026-09-01 06:58+03:00;;;
SVO;2026-09-01;DP 6807;Departed;Basic+Live;0;D;3;2026-09-01 06:50+03:00;2026-09-01 06:48+03:00;2026-09-01 06:55+03:00;;;
SVO;2026-09-01;FV 6223;Departed;Basic+Live;0;B;104;2026-09-01 07:00+03:00;2026-09-01 07:00+03:00;2026-09-01 07:16+03:00;;;
SVO;2026-09-01;SU 6223;Departed;Basic+Live;0;B;104;2026-09-01 07:00+03:00;2026-09-01 07:00+03:00;2026-09-01 07:16+03:00;;;
SVO;2026-09-01;SU 1534;Departed;Basic+Live;0;B;104;2026-09-01 07:00+03:00;2026-09-01 07:00+03:00;2026-09-01 07:16+03:00;;;
SVO;2026-09-01;SU 1266;Departed;Basic+Live;0;B;102;2026-09-01 06:55+03:00;2026-09-01 07:03+03:00;2026-09-01 07:14+03:00;;;
SVO;2026-09-01;SU 1152;Departed;Basic+Live;0;B;115;2026-09-01 07:10+03:00;2026-09-01 07:04+03:00;2026-09-01 07:18+03:00;;;
SVO;2026-09-01;SU 520;Departed;Basic+Live;0;C;134;2026-09-01 07:05+03:00;2026-09-01 07:05+03:00;2026-09-01 07:23+03:00;;;
SVO;2026-09-01;SU 6;Departed;Basic+Live;0;B;106;2026-09-01 07:15+03:00;2026-09-01 07:09+03:00;2026-09-01 07:21+03:00;;;
SVO;2026-09-01;FV 6369;Departed;Basic+Live;0;B;117;2026-09-01 07:20+03:00;2026-09-01 07:13+03:00;2026-09-01 07:26+03:00;;;
SVO;2026-09-01;SU 6369;Departed;Basic+Live;0;B;117;2026-09-01 07:20+03:00;2026-09-01 07:13+03:00;2026-09-01 07:26+03:00;;;
SVO;2026-09-01;SU 2172;Departed;Basic+Live;0;C;141;2026-09-01 07:20+03:00;2026-09-01 07:17+03:00;2026-09-01 07:29+03:00;;;
SVO;2026-09-01;SU 1032;Departed;Basic+Live;0;B;120;2026-09-01 07:25+03:00;2026-09-01 07:19+03:00;2026-09-01 07:34+03:00;;;
SVO;2026-09-01;SU 1444;Departed;Basic+Live;0;B;116;2026-09-01 07:30+03:00;2026-09-01 07:21+03:00;2026-09-01 07:35+03:00;;;
SVO;2026-09-01;SU 1180;Departed;Basic+Live;0;B;122;2026-09-01 07:25+03:00;2026-09-01 07:25+03:00;2026-09-01 07:39+03:00;;;
SVO;2026-09-01;DP 6851;Departed;Basic+Live;0;D;17;2026-09-01 07:25+03:00;2026-09-01 07:26+03:00;2026-09-01 07:37+03:00;;;
SVO;2026-09-01;SU 2142;Departed;Basic+Live;0;C;142;2026-09-01 07:35+03:00;2026-09-01 07:31+03:00;2026-09-01 07:42+03:00;;;
SVO;2026-09-01;DP 6809;Departed;Basic+Live;0;D;3;2026-09-01 07:35+03:00;2026-09-01 07:36+03:00;2026-09-01 07:44+03:00;;;
SVO;2026-09-01;FV 6405;Departed;Basic+Live;0;B;102;2026-09-01 07:40+03:00;2026-09-01 07:39+03:00;2026-09-01 07:53+03:00;;;
SVO;2026-09-01;SU 6405;Departed;Basic+Live;0;B;102;2026-09-01 07:40+03:00;2026-09-01 07:39+03:00;2026-09-01 07:53+03:00;;;
SVO;2026-09-01;SU 1678;Departed;Basic+Live;0;B;119;2026-09-01 07:50+03:00;2026-09-01 07:41+03:00;2026-09-01 07:51+03:00;;;
SVO;2026-09-01;SU 2120;Departed;Basic+Live;0;C;125;2026-09-01 07:45+03:00;2026-09-01 07:45+03:00;2026-09-01 08:05+03:00;;;
SVO;2026-09-01;DP 6837;Departed;Basic+Live;0;D;13;2026-09-01 07:45+03:00;2026-09-01 07:46+03:00;2026-09-01 07:54+03:00;;;
SVO;2026-09-01;SU 1366;Departed;Basic+Live;0;B;110;2026-09-01 07:40+03:00;2026-09-01 07:47+03:00;2026-09-01 07:58+03:00;;;
SVO;2026-09-01;DP 6961;Departed;Basic+Live;0;D;1;2026-09-01 06:50+03:00;2026-09-01 07:47+03:00;2026-09-01 07:59+03:00;;;
SVO;2026-09-01;SU 1052;Departed;Basic+Live;0;B;104;2026-09-01 07:50+03:00;2026-09-01 07:49+03:00;2026-09-01 08:03+03:00;;;
SVO;2026-09-01;SU 1176;Departed;Basic+Live;0;B;115;2026-09-01 07:55+03:00;2026-09-01 07:50+03:00;2026-09-01 08:09+03:00;;;
SVO;2026-09-01;SU 1014;Departed;Basic+Live;0;B;118;2026-09-01 08:00+03:00;2026-09-01 07:55+03:00;2026-09-01 08:10+03:00;;;
SVO;2026-09-01;DP 6905;Departed;Basic+Live;0;D;17;2026-09-01 07:15+03:00;2026-09-01 07:56+03:00;2026-09-01 08:06+03:00;;;
SVO;2026-09-01;DP 6903;Departed;Basic+Live;0;D;15;2026-09-01 07:00+03:00;2026-09-01 07:58+03:00;2026-09-01 08:15+03:00;;;
SVO;2026-09-01;SM 782;Departed;Basic+Live;0;C;127;2026-09-01 07:55+03:00;2026-09-01 07:58+03:00;2026-09-01 08:22+03:00;;;
SVO;2026-09-01;SU 1268;Departed;Basic+Live;0;B;103;2026-09-01 08:05+03:00;2026-09-01 08:00+03:00;2026-09-01 08:16+03:00;;;
SVO;2026-09-01;SU 1268;Departed;Basic+Live;0;B;103;2026-09-01 08:05+03:00;2026-09-01 08:00+03:00;2026-09-01 08:16+03:00;;;
SVO;2026-09-01;DP 6965;Departed;Basic+Live;0;D;1;2026-09-01 07:10+03:00;2026-09-01 08:00+03:00;2026-09-01 08:13+03:00;;;
SVO;2026-09-01;DP 6911;Departed;Basic+Live;0;D;3;2026-09-01 07:30+03:00;2026-09-01 08:00+03:00;2026-09-01 08:17+03:00;;;
SVO;2026-09-01;SU 6127;Departed;Basic+Live;0;B;101;2026-09-01 08:00+03:00;2026-09-01 08:00+03:00;2026-09-01 08:12+03:00;;;
SVO;2026-09-01;FV 6127;Departed;Basic+Live;0;B;101;2026-09-01 08:00+03:00;2026-09-01 08:00+03:00;2026-09-01 08:12+03:00;;;
SVO;2026-09-01;SU 1860;Departed;Basic+Live;0;C;146;2026-09-01 08:10+03:00;2026-09-01 08:02+03:00;2026-09-01 08:25+03:00;;;
SVO;2026-09-01;AT 221;Departed;Basic+Live;0;C;140;2026-09-01 07:45+03:00;2026-09-01 08:06+03:00;2026-09-01 08:26+03:00;;;
SVO;2026-09-01;SU 6153;Departed;Basic+Live;0;B;106;2026-09-01 08:25+03:00;2026-09-01 08:19+03:00;2026-09-01 08:32+03:00;;;
SVO;2026-09-01;FV 6153;Departed;Basic+Live;0;B;106;2026-09-01 08:25+03:00;2026-09-01 08:19+03:00;2026-09-01 08:32+03:00;;;
SVO;2026-09-01;SU 6075;Departed;Basic+Live;0;B;113;2026-09-01 06:00+03:00;2026-09-01 08:19+03:00;2026-09-01 08:42+03:00;;;
SVO;2026-09-01;FV 6075;Departed;Basic+Live;0;B;113;2026-09-01 06:00+03:00;2026-09-01 08:19+03:00;2026-09-01 08:42+03:00;;;
SVO;2026-09-01;SU 1242;Departed;Basic+Live;0;B;108;2026-09-01 06:30+03:00;2026-09-01 08:20+03:00;2026-09-01 08:34+03:00;;;
