airport,flight_date,scheduled_time,actual_time,terminal,gate,airlines,flight_numbers,destination,destination_iata
SVO,2026-07-01,00:05,23:59,B,103,Aeroflot,SU 1424,Ufa,UFA
SVO,2026-07-01,00:05,00:52,B,113,Aeroflot,SU 1484,Krasnoyarsk,KJA
SVO,2026-07-01,00:05,02:35,C,126,Aeroflot,SU 1942,Almaty,ALA
SVO,2026-07-01,00:10,00:06,B,110,Aeroflot,SU 1524,Gorno-Altaysk,RGK
SVO,2026-07-01,00:10,00:33,C,136,Aeroflot,SU 2162,Antalya,AYT
SVO,2026-07-01,00:10,00:34,D,13,Pobeda,DP 6945,Sochi,AER
SVO,2026-07-01,00:15,00:27,B,119,Aeroflot,SU 1478,Abakan,ABA
SVO,2026-07-01,00:20,00:15,C,130,Aeroflot,SU 2128,Antalya,AYT
SVO,2026-07-01,00:20,03:50,C,142,Aeroflot,SU 1834,Minsk,MSQ
SVO,2026-07-01,00:20,01:49,D,3,Pobeda,DP 6541,Ekaterinburg,SVX
SVO,2026-07-01,00:25,00:43,D,3,Pobeda,DP 6511,Perm,PEE
SVO,2026-07-01,00:30,01:20,B,106,Aeroflot,SU 1092,Chelyabinsk,CEK
SVO,2026-07-01,00:35,01:27,B,105,Aeroflot,SU 1568,Tyumen,TJM
SVO,2026-07-01,00:35,01:21,B,121,Aeroflot,SU 1244,Orenburg,REN
SVO,2026-07-01,00:40,01:07,B,102,Aeroflot,SU 1780,Kemerovo,KEJ
SVO,2026-07-01,00:40,01:39,B,110,Aeroflot,SU 1430,Barnaul,BAX
SVO,2026-07-01,00:40,00:36,B,120,Aeroflot,SU 1638,Omsk,OMS
SVO,2026-07-01,00:45,00:37,B,111,Aeroflot,SU 1428,Magnitogorsk,MQF
SVO,2026-07-01,00:45,01:21,D,3,Pobeda,DP 5569,Chelyabinsk,CEK
SVO,2026-07-01,00:55,00:54,B,112,Aeroflot,SU 1482,Krasnoyarsk,KJA
SVO,2026-07-01,01:00,01:04,B,101,"Rossiya,Aeroflot","FV 6699,SU 6699",Saint-Petersburg,LED
SVO,2026-07-01,01:00,01:56,B,108,Aeroflot,SU 1382,Khanty-Mansiysk,HMA
SVO,2026-07-01,01:00,02:16,C,138,Aeroflot,SU 2170,Istanbul,IST
SVO,2026-07-01,01:05,01:11,B,118,Aeroflot,SU 1306,Novosibirsk,OVB
SVO,2026-07-01,01:05,01:04,C,137,Aeroflot,SU 1894,Osh,OSS
SVO,2026-07-01,01:10,01:04,C,125,Air Stork,2S 12,Antalya,AYT
