airport,flight_date,scheduled_time,actual_time,terminal,gate,airlines,flight_numbers,destination,destination_iata
SVO,2026-06-18,00:05,00:01,B,110,Aeroflot,SU 1424,Ufa,UFA
SVO,2026-06-18,00:05,00:10,B,114,Aeroflot,SU 1484,Krasnoyarsk,KJA
SVO,2026-06-18,00:05,01:21,C,127,Aeroflot,SU 1942,Almaty,ALA
SVO,2026-06-18,00:10,00:10,B,121,Aeroflot,SU 1524,Gorno-Altaysk,RGK
SVO,2026-06-18,00:10,01:35,D,1,Pobeda,DP 5501,Ufa,UFA
SVO,2026-06-18,00:10,01:55,D,3,Pobeda,DP 5567,Chelyabinsk,CEK
SVO,2026-06-18,00:15,00:23,B,102,Aeroflot,SU 1478,Abakan,ABA
SVO,2026-06-18,00:20,00:16,C,135,Aeroflot,SU 1834,Minsk,MSQ
SVO,2026-06-18,00:20,01:17,D,13,Pobeda,DP 6541,Ekaterinburg,SVX
SVO,2026-06-18,00:25,00:30,C,132,Aeroflot,SU 2128,Antalya,AYT
SVO,2026-06-18,00:25,02:30,D,13,Pobeda,DP 6511,Perm,PEE
SVO,2026-06-18,00:25,02:14,D,14,Pobeda,DP 5921,Makhachkala,MCX
SVO,2026-06-18,00:30,00:25,B,118,Aeroflot,SU 1092,Chelyabinsk,CEK
SVO,2026-06-18,00:35,00:35,B,103,Aeroflot,SU 1568,Tyumen,TJM
SVO,2026-06-18,00:35,00:34,B,113,Aeroflot,SU 1244,Orenburg,REN
SVO,2026-06-18,00:40,00:39,B,101,Aeroflot,SU 1456,Kemerovo,KEJ
SVO,2026-06-18,00:40,00:35,B,106,Aeroflot,SU 1638,Omsk,OMS
SVO,2026-06-18,00:40,00:52,B,119,Aeroflot,SU 1430,Barnaul,BAX
SVO,2026-06-18,00:45,00:43,B,104,Aeroflot,SU 1428,Magnitogorsk,MQF
SVO,2026-06-18,00:45,01:51,D,13,Pobeda,DP 6569,Chelyabinsk,CEK
SVO,2026-06-18,00:55,00:55,B,111,Aeroflot,SU 1482,Krasnoyarsk,KJA
SVO,2026-06-18,01:00,01:04,B,102,"Rossiya,Aeroflot","FV 6699,SU 6699",Saint-Petersburg,LED
SVO,2026-06-18,01:00,01:26,B,115,Aeroflot,SU 1382,Khanty-Mansiysk,HMA
SVO,2026-06-18,01:00,00:59,C,137,Aeroflot,SU 2170,Istanbul,IST
SVO,2026-06-18,01:05,01:05,B,117,Aeroflot,SU 1306,Novosibirsk,OVB
SVO,2026-06-18,01:15,01:07,C,140,Aeroflot,SU 1966,Yerevan,EVN
SVO,2026-06-18,01:20,01:20,B,122,Aeroflot,SU 1708,Vladivostok,VVO
SVO,2026-06-18,01:25,01:22,C,125,Aeroflot,SU 424,Hurghada,HRG
SVO,2026-06-18,01:30,02:05,B,106,Aeroflot,SU 1426,Chelyabinsk,CEK
SVO,2026-06-18,01:30,01:52,B,109,Aeroflot,SU 1562,Irkutsk,IKT
SVO,2026-06-18,01:35,01:31,B,104,Aeroflot,SU 1436,Ekaterinburg,SVX
SVO,2026-06-18,01:40,01:47,B,114,Aeroflot,SU 1512,Surgut,SGC
SVO,2026-06-18,02:10,02:08,B,103,Aeroflot,SU 1054,Makhachkala,MCX
SVO,2026-06-18,02:15,02:09,C,143,Aeroflot,SU 2148,Antalya,AYT
SVO,2026-06-18,02:15,02:12,C,145,Aeroflot,SU 428,Sharm el Sheikh,SSH
SVO,2026-06-18,02:20,02:16,B,102,Aeroflot,SU 1466,Ekaterinburg,SVX
SVO,2026-06-18,02:20,02:12,B,108,Aeroflot,SU 1172,Astrakhan,ASF
SVO,2026-06-18,02:25,02:25,B,116,Aeroflot,SU 1074,Sochi,AER
SVO,2026-06-18,02:55,02:49,B,121,"Rossiya,Aeroflot","FV 6591,SU 6591",Perm,PEE
SVO,2026-06-18,02:55,03:16,C,127,Air Serbia,JU 137,Belgrade,BEG
SVO,2026-06-18,03:45,07:57,C,140,Corendon Air,XC 9113,Antalya,AYT
SVO,2026-06-18,05:40,12:02,C,142,"Rossiya,Aeroflot","FV 6953,SU 6953",Antalya,AYT
SVO,2026-06-18,06:10,12:52,B,112,Aeroflot,SU 1256,Krasnodar,KRR
SVO,2026-06-18,06:20,12:40,B,102,"Rossiya,Aeroflot","FV 6405,SU 6405",Syktyvkar,SCW
