airport,flight_date,scheduled_time,actual_time,terminal,gate,airlines,flight_numbers,destination,destination_iata
SVO,2026-09-22,00:05,00:48,B,103,Аэрофлот,SU 1484,Красноярск,KJA
SVO,2026-09-22,00:05,00:21,B,104,Аэрофлот,SU 1424,Уфа,UFA
SVO,2026-09-22,00:05,00:18,C,132,Аэрофлот,SU 1942,Алматы,ALA
SVO,2026-09-22,00:10,00:26,B,107,Аэрофлот,SU 1524,Горно-Алтайск,RGK
SVO,2026-09-22,00:10,00:16,C,133,Аэрофлот,SU 2162,Анталья,AYT
SVO,2026-09-22,00:15,00:53,B,122,Аэрофлот,SU 1478,Абакан,ABA
SVO,2026-09-22,00:15,00:33,C,136,Аэрофлот,SU 484,Шарм-эль-Шейх,SSH
SVO,2026-09-22,00:20,01:40,C,125,Almasria universal airlines,UJ 708,Хургада,HRG
SVO,2026-09-22,00:20,00:27,C,127,Аэрофлот,SU 1834,Минск,MSQ
SVO,2026-09-22,00:25,00:34,C,143,Аэрофлот,SU 2128,Анталья,AYT
SVO,2026-09-22,00:25,03:07,D,13,Победа,DP 6545,Екатеринбург,SVX
SVO,2026-09-22,00:25,02:02,D,14,Победа,DP 6511,Пермь,PEE
SVO,2026-09-22,00:30,00:31,B,101,"Россия,Аэрофлот","FV 6951,SU 6951",Санкт-Петербург,LED
SVO,2026-09-22,00:30,00:40,B,109,Аэрофлот,SU 1092,Челябинск,CEK
SVO,2026-09-22,00:35,01:09,B,120,Аэрофлот,SU 1568,Тюмень,TJM
SVO,2026-09-22,00:35,00:38,B,121,Аэрофлот,SU 1244,Оренбург,REN
SVO,2026-09-22,00:35,00:57,C,137,Аэрофлот,SU 424,Хургада,HRG
SVO,2026-09-22,00:40,00:55,B,106,Аэрофлот,SU 1430,Барнаул,BAX
SVO,2026-09-22,00:40,04:15,B,121,Аэрофлот,SU 1638,Омск,OMS
SVO,2026-09-22,00:40,04:07,D,1,Победа,DP 6503,Уфа,UFA
SVO,2026-09-22,00:45,01:02,B,112,Аэрофлот,SU 1428,Магнитогорск,MQF
SVO,2026-09-22,00:45,01:06,C,138,Southwind Airlines,2S 136,Анталья,AYT
SVO,2026-09-22,00:50,02:35,D,3,Победа,DP 6569,Челябинск,CEK
SVO,2026-09-22,00:55,01:15,B,117,Аэрофлот,SU 1482,Красноярск,KJA
SVO,2026-09-22,01:00,01:17,B,110,Аэрофлот,SU 1382,Ханты-Мансийск,HMA
SVO,2026-09-22,01:00,01:13,C,144,Аэрофлот,SU 2170,Стамбул,IST
SVO,2026-09-22,01:05,01:59,B,105,Аэрофлот,SU 1306,Новосибирск,OVB
SVO,2026-09-22,01:10,01:32,C,134,Southwind Airlines,2S 12,Анталья,AYT
SVO,2026-09-22,01:10,01:22,C,142,Аэрофлот,SU 2164,Анталья,AYT
SVO,2026-09-22,01:15,01:35,C,128,Аэрофлот,SU 1966,Ереван,EVN
SVO,2026-09-22,01:15,01:29,C,140,Southwind Airlines,2S 168,Анталья,AYT
SVO,2026-09-22,01:15,01:15,D,13,Победа,ДР 6949,Сочи,AER
SVO,2026-09-22,01:20,01:36,B,114,Аэрофлот,SU 1708,Владивосток,VVO
SVO,2026-09-22,01:30,01:42,B,111,"Россия,Аэрофлот","FV 6907,SU 6907",Челябинск,CEK
SVO,2026-09-22,01:30,02:00,B,116,Аэрофлот,SU 1562,Иркутск,IKT
SVO,2026-09-22,01:40,01:56,B,115,Аэрофлот,SU 1512,Сургут,SGC
SVO,2026-09-22,01:50,02:08,C,127,Аэрофлот,SU 1936,Караганды,KGF
SVO,2026-09-22,01:55,02:09,B,107,Аэрофлот,SU 1582,Горно-Алтайск,RGK
SVO,2026-09-22,02:05,02:01,C,141,Ariana Afghan,FG 708,Kabul,KBL
SVO,2026-09-22,02:10,02:17,B,123,Аэрофлот,SU 1054,Махачкала,MCX
SVO,2026-09-22,02:15,02:30,C,126,Аэрофлот,SU 2148,Анталья,AYT
SVO,2026-09-22,02:20,02:31,B,101,Аэрофлот,SU 1466,Екатеринбург,SVX
SVO,2026-09-22,02:20,02:28,B,109,Аэрофлот,SU 1172,Астрахань,ASF
SVO,2026-09-22,02:25,02:33,B,108,Аэрофлот,SU 1074,Сочи,AER
SVO,2026-09-22,02:45,03:19,C,139,Corendon Airlines,XC 9111,Анталья,AYT
SVO,2026-09-22,02:55,03:05,B,101,"Россия,Аэрофлот","FV 6591,SU 6591",Пермь,PEE
SVO,2026-09-22,02:55,03:30,C,135,Air Serbia,JU 137,Белград,BEG
SVO,2026-09-22,03:20,03:10,C,145,Nordwind,N4 1295,Сухум,SUI
SVO,2026-09-22,04:55,05:10,B,119,Аэрофлот,SU 1110,Сочи,AER
SVO,2026-09-22,05:00,05:22,C,140,"Россия,Аэрофлот","FV 6953,SU 6953",Анталья,AYT
SVO,2026-09-22,06:10,06:14,B,101,"Россия,Аэрофлот","FV 6045,SU 6045",Санкт-Петербург,LED
SVO,2026-09-22,06:10,06:24,B,114,Аэрофлот,SU 1318,Мурманск,MMK
SVO,2026-09-22,06:25,06:39,B,108,Аэрофлот,SU 1000,Калининград,KGD
SVO,2026-09-22,06:30,06:33,B,113,Аэрофлот,SU 1242,Оренбург,REN
SVO,2026-09-22,06:30,06:41,B,115,Аэрофлот,SU 1410,Екатеринбург,SVX
SVO,2026-09-22,06:50,07:41,D,3,Победа,DP 6961,Астрахань,ASF
SVO,2026-09-22,06:55,11:55,B,112,"Россия,Аэрофлот","FV 6491,SU 6491",Саратов,GSV
SVO,2026-09-22,06:55,07:02,D,1,Победа,DP 6809,Киров,KVX
SVO,2026-09-22,07:00,11:18,B,102,"Россия,Аэрофлот","FV 6075,SU 6075",Ульяновск,ULV
SVO,2026-09-22,07:00,07:07,B,104,"Россия,Аэрофлот","FV 6223,SU 6223",Челябинск,CEK
SVO,2026-09-22,07:00,09:31,D,3,Победа,DP 6903,Магас,IGT
SVO,2026-09-22,07:05,07:16,C,143,Аэрофлот,SU 520,Дубай,DXB
SVO,2026-09-22,07:10,07:18,B,121,Аэрофлот,SU 1152,Сочи,AER
SVO,2026-09-22,07:10,09:44,D,1,Победа,DP 6863,Саратов,GSV
SVO,2026-09-22,07:10,11:34,D,3,Победа,DP 6965,Волгоград,VOG
SVO,2026-09-22,07:15,07:24,B,102,Аэрофлот,SU 6,Санкт-Петербург,LED
SVO,2026-09-22,07:15,08:02,B,105,Аэрофлот,SU 1338,Минеральные Воды,MRV
SVO,2026-09-22,07:15,08:15,D,3,Победа,DP 6905,Владикавказ,OGZ
SVO,2026-09-22,07:20,07:32,C,130,Аэрофлот,SU 2172,Стамбул,IST
SVO,2026-09-22,07:20,07:37,D,1,Победа,DP 6851,Санкт-Петербург,LED
SVO,2026-09-22,07:20,12:00,D,13,Победа,DP 6583,Самара,KUF
SVO,2026-09-22,07:25,07:30,B,101,Аэрофлот,SU 1180,Волгоград,VOG
SVO,2026-09-22,07:25,07:26,B,103,Аэрофлот,SU 1032,Калининград,KGD
SVO,2026-09-22,07:30,09:48,B,102,"Россия,Аэрофлот","FV 6811,SU 6811",Саранск,SKX
SVO,2026-09-22,07:30,07:43,B,112,Аэрофлот,SU 1444,Иркутск,IKT
SVO,2026-09-22,07:30,08:24,D,1,Победа,DP 6911,Минеральные Воды,MRV
SVO,2026-09-22,07:35,07:49,B,104,"Россия,Аэрофлот","FV 6369,SU 6369",Ижевск,IJK
SVO,2026-09-22,07:35,07:46,C,135,Аэрофлот,SU 2142,Анталья,AYT
SVO,2026-09-22,07:35,09:29,C,138,Air Cairo,SM 936,Шарм-эль-Шейх,SSH
SVO,2026-09-22,07:40,07:55,B,119,Аэрофлот,SU 1366,Ставрополь,STW
SVO,2026-09-22,07:45,08:26,B,122,Аэрофлот,SU 1388,Сыктывкар,SCW
SVO,2026-09-22,07:45,07:52,C,129,Аэрофлот,SU 2120,Бодрум,BJV
SVO,2026-09-22,07:45,07:57,D,1,Победа,DP 6837,Калининград,KGD
SVO,2026-09-22,07:50,08:05,B,102,Аэрофлот,SU 1052,Махачкала,MCX
SVO,2026-09-22,07:50,08:03,B,117,Аэрофлот,SU 1678,Астрахань,ASF
SVO,2026-09-22,07:55,08:12,B,107,Аэрофлот,SU 1176,Сочи,AER
SVO,2026-09-22,07:55,09:37,C,135,Air Cairo,SM 782,Шарм-эль-Шейх,SSH
SVO,2026-09-22,08:00,08:07,B,101,"Россия,Аэрофлот","FV 6127,SU 6127",Санкт-Петербург,LED
SVO,2026-09-22,08:00,08:09,B,123,Аэрофлот,SU 1014,Калининград,KGD
SVO,2026-09-22,08:00,09:54,D,3,Победа,DP 6841,Казань,KZN
SVO,2026-09-22,08:05,10:11,B,103,Аэрофлот,SU 1268,Казань,KZN
SVO,2026-09-22,08:10,10:41,B,104,"Россия,Аэрофлот","FV 6503,SU 6503",Архангельск,ARH
SVO,2026-09-22,08:10,08:30,C,134,Аэрофлот,SU 1860,Ереван,EVN
SVO,2026-09-22,08:10,08:28,C,139,Royal Air Maroc,AT 221,Касабланка,CMN
SVO,2026-09-22,08:15,08:39,B,102,"Россия,Аэрофлот","FV 6309,SU 6309",Калининград,KGD
SVO,2026-09-22,08:20,08:34,B,106,Аэрофлот,SU 1042,Сочи,AER
SVO,2026-09-22,08:25,08:37,B,112,"Россия,Аэрофлот","FV 6155,SU 6155",Нижнекамск,NBC
SVO,2026-09-22,08:25,08:42,B,121,"Россия,Аэрофлот","FV 6153,SU 6153",Самара,KUF
SVO,2026-09-22,08:30,08:41,B,101,"Россия,Аэрофлот","FV 6043,SU 6043",Санкт-Петербург,LED
SVO,2026-09-22,08:30,08:44,B,114,Аэрофлот,SU 1200,Пермь,PEE
SVO,2026-09-22,08:30,08:46,B,115,"Россия,Аэрофлот","FV 6069,SU 6069",Махачкала,MCX
SVO,2026-09-22,08:35,08:51,B,103,Аэрофлот,SU 1400,Екатеринбург,SVX
SVO,2026-09-22,08:40,08:48,B,109,Аэрофлот,SU 1148,Геленджик,GDZ
SVO,2026-09-22,08:40,08:58,B,118,Аэрофлот,SU 1304,Минеральные Воды,MRV
SVO,2026-09-22,08:45,09:00,B,120,Аэрофлот,SU 1498,Грозный,GRV
SVO,2026-09-22,08:45,08:55,C,136,Аэрофлот,SU 2136,Стамбул,IST
SVO,2026-09-22,08:50,09:07,B,104,"Россия,Аэрофлот","FV 6415,SU 6415",Волгоград,VOG
SVO,2026-09-22,08:55,09:04,B,119,Аэрофлот,SU 1538,Томск,TOF
SVO,2026-09-22,09:00,09:03,B,101,"Россия,Аэрофлот","FV 6167,SU 6167",Санкт-Петербург,LED
SVO,2026-09-22,09:00,09:11,B,102,Аэрофлот,SU 1016,Калининград,KGD
SVO,2026-09-22,09:05,11:15,D,1,Победа,DP 6843,Казань,KZN
