airport,flight_date,scheduled_time,actual_time,terminal,gate,airlines,flight_numbers,destination,destination_iata
SVO,2026-06-08,00:05,00:15,B,105,Aeroflot,SU 1424,Ufa,UFA
SVO,2026-06-08,00:05,00:42,B,113,Aeroflot,SU 1484,Krasnoyarsk,KJA
SVO,2026-06-08,00:05,00:00,C,133,Aeroflot,SU 1942,Almaty,ALA
SVO,2026-06-08,00:10,00:08,B,116,Aeroflot,SU 1524,Gorno-Altaysk,RGK
SVO,2026-06-08,00:15,00:15,B,102,Aeroflot,SU 1478,Abakan,ABA
SVO,2026-06-08,00:20,00:14,C,141,Aeroflot,SU 1834,Minsk,MSQ
SVO,2026-06-08,00:20,01:58,D,3,Pobeda,DP 6541,Ekaterinburg,SVX
SVO,2026-06-08,00:25,00:23,C,130,Aeroflot,SU 2128,Antalya,AYT
SVO,2026-06-08,00:25,01:16,D,13,Pobeda,DP 5921,Makhachkala,MCX
SVO,2026-06-08,00:25,00:22,D,15,Pobeda,DP 6511,Perm,PEE
SVO,2026-06-08,00:30,00:27,B,101,"Rossiya,Aeroflot","FV 6951,SU 6951",Saint-Petersburg,LED
SVO,2026-06-08,00:30,00:27,B,103,Aeroflot,SU 1092,Chelyabinsk,CEK
SVO,2026-06-08,00:35,00:31,B,118,Aeroflot,SU 1568,Tyumen,TJM
SVO,2026-06-08,00:35,00:31,B,123,Aeroflot,SU 1244,Orenburg,REN
SVO,2026-06-08,00:40,00:40,B,104,Aeroflot,SU 1456,Kemerovo,KEJ
SVO,2026-06-08,00:40,00:36,B,112,Aeroflot,SU 1638,Omsk,OMS
SVO,2026-06-08,00:40,00:36,B,115,Aeroflot,SU 1430,Barnaul,BAX
SVO,2026-06-08,00:45,00:42,B,111,Aeroflot,SU 1428,Magnitogorsk,MQF
SVO,2026-06-08,00:45,00:45,C,137,Air Stork,2S 174,Antalya,AYT
SVO,2026-06-08,00:45,02:09,D,1,Pobeda,DP 6569,Chelyabinsk,CEK
SVO,2026-06-08,00:55,00:55,B,107,Aeroflot,SU 1482,Krasnoyarsk,KJA
SVO,2026-06-08,01:00,00:56,B,101,Aeroflot,SU 1382,Khanty-Mansiysk,HMA
SVO,2026-06-08,01:00,00:56,B,102,"Rossiya,Aeroflot","FV 6699,SU 6699",Saint-Petersburg,LED
SVO,2026-06-08,01:00,01:00,C,131,Aeroflot,SU 2170,Istanbul,IST
SVO,2026-06-08,01:15,01:12,C,134,Aeroflot,SU 1966,Yerevan,EVN
SVO,2026-06-08,01:20,01:20,B,103,"Rossiya,Aeroflot","FV 6293,SU 6293,SU 1708",Vladivostok,VVO
SVO,2026-06-08,01:25,02:17,C,140,Air Cairo,SM 904,Sharm el Sheikh,SSH
SVO,2026-06-08,01:30,01:18,B,110,Aeroflot,SU 1426,Chelyabinsk,CEK
SVO,2026-06-08,01:30,01:26,B,117,Aeroflot,SU 1562,Irkutsk,IKT
SVO,2026-06-08,01:40,01:36,B,104,Aeroflot,SU 1512,Surgut,SGC
SVO,2026-06-08,01:45,01:58,B,101,Aeroflot,SU 1472,Nizhnevartovsk,NJC
SVO,2026-06-08,01:45,01:37,D,14,Smartavia,5N 231,Orenburg,REN
SVO,2026-06-08,02:10,02:10,B,103,Aeroflot,SU 1054,Makhachkala,MCX
SVO,2026-06-08,02:15,02:13,C,126,Aeroflot,SU 2148,Antalya,AYT
SVO,2026-06-08,02:15,02:10,C,130,Aeroflot,SU 428,Sharm el Sheikh,SSH
SVO,2026-06-08,02:20,02:13,B,106,Aeroflot,SU 1466,Ekaterinburg,SVX
SVO,2026-06-08,02:20,02:14,B,122,Aeroflot,SU 1172,Astrakhan,ASF
SVO,2026-06-08,02:25,02:21,B,102,Aeroflot,SU 1074,Sochi,AER
SVO,2026-06-08,02:30,02:27,C,135,"Rossiya,Aeroflot","FV 5953,SU 5953",Hurghada,HRG
SVO,2026-06-08,02:45,02:55,C,138,Corendon Air,XC 9117,Antalya,AYT
SVO,2026-06-08,02:55,02:47,B,101,Aeroflot,SU 1250,Nizhnekamsk,NBC
SVO,2026-06-08,02:55,02:55,B,104,"Rossiya,Aeroflot","FV 6591,SU 6591",Perm,PEE
SVO,2026-06-08,02:55,03:02,C,139,Air Serbia,JU 137,Belgrade,BEG
SVO,2026-06-08,03:10,03:18,C,137,Shirak Avia,5G 710,Yerevan,EVN
SVO,2026-06-08,04:55,04:46,B,106,Aeroflot,SU 1110,Sochi,AER
SVO,2026-06-08,05:20,07:54,B,113,Aeroflot,SU 1106,Krasnodar,KRR
SVO,2026-06-08,05:55,05:47,B,116,Aeroflot,SU 1270,Kazan,KZN
SVO,2026-06-08,06:00,05:53,B,103,"Rossiya,Aeroflot","FV 6299,SU 6299",Nizhnekamsk,NBC
SVO,2026-06-08,06:00,05:54,B,108,"Rossiya,Aeroflot","FV 6075,SU 6075",Ulyanovsk,ULV
SVO,2026-06-08,06:10,06:03,B,105,Aeroflot,SU 1318,Murmansk,MMK
SVO,2026-06-08,06:10,08:11,B,123,Aeroflot,SU 1256,Krasnodar,KRR
SVO,2026-06-08,06:10,06:09,C,130,"Pegas Fly,Nordwind","EO 1293,N4 1293",Sokhumi,SUI
SVO,2026-06-08,06:20,06:20,B,102,"Rossiya,Aeroflot","FV 6405,SU 6405",Syktyvkar,SCW
SVO,2026-06-08,06:20,06:23,C,142,AlMasria,UJ 612,Sharm el Sheikh,SSH
SVO,2026-06-08,06:25,06:27,B,101,"Rossiya,Aeroflot","FV 6061,SU 6061",Samara,KUF
SVO,2026-06-08,06:25,06:29,D,1,Pobeda,DP 6923,Makhachkala,MCX
SVO,2026-06-08,06:30,06:29,B,104,Aeroflot,SU 1516,Surgut,SGC
SVO,2026-06-08,06:30,06:25,B,120,Aeroflot,SU 1242,Orenburg,REN
SVO,2026-06-08,06:35,09:31,B,121,Aeroflot,SU 1000,Kaliningrad,KGD
SVO,2026-06-08,06:40,06:41,D,13,Pobeda,DP 6807,Cheboksary,CSY
SVO,2026-06-08,06:45,06:40,B,103,Aeroflot,SU 1724,Khabarovsk,KHV
SVO,2026-06-08,06:45,08:41,B,109,Aeroflot,SU 1154,Gelendzhik,GDZ
SVO,2026-06-08,06:55,06:52,B,101,"Rossiya,Aeroflot","FV 6491,SU 6491",Saratov,GSV
SVO,2026-06-08,06:55,06:53,D,1,Pobeda,DP 6919,Stavropol,STW
SVO,2026-06-08,07:00,06:59,B,104,"Rossiya,Aeroflot","FV 6223,SU 6223,SU 1534",Chelyabinsk,CEK
SVO,2026-06-08,07:00,07:00,D,3,Pobeda,DP 6961,Astrakhan,ASF
SVO,2026-06-08,07:05,07:01,B,102,"Rossiya,Aeroflot","FV 6381,SU 6381",Izhevsk,IJK
SVO,2026-06-08,07:05,07:48,C,125,Aeroflot,SU 520,Dubai,DXB
SVO,2026-06-08,07:05,08:46,D,1,Pobeda,DP 6965,Volgograd,VOG
SVO,2026-06-08,07:10,07:03,B,110,Aeroflot,SU 1152,Sochi,AER
SVO,2026-06-08,07:10,07:11,D,13,Pobeda,DP 6823,Saint-Petersburg,LED
SVO,2026-06-08,07:10,08:40,D,13,Pobeda,DP 6863,Saratov,GSV
SVO,2026-06-08,07:15,11:13,B,103,"Rossiya,Aeroflot","FV 6351,SU 6351",Nizhniy Novgorod,GOJ
SVO,2026-06-08,07:15,07:04,B,106,Aeroflot,SU 6,Saint-Petersburg,LED
SVO,2026-06-08,07:15,07:18,D,14,Pobeda,DP 6837,Kaliningrad,KGD
SVO,2026-06-08,07:20,07:17,C,138,Aeroflot,SU 2172,Istanbul,IST
SVO,2026-06-08,07:20,07:11,C,144,Aeroflot,SU 426,Sharm el Sheikh,SSH
SVO,2026-06-08,07:25,07:18,B,122,Aeroflot,SU 1180,Volgograd,VOG
SVO,2026-06-08,07:25,07:21,C,127,Aeroflot,SU 422,Hurghada,HRG
SVO,2026-06-08,07:30,07:26,B,104,"Rossiya,Aeroflot","FV 6811,SU 6811,SU 6827",Saransk,SKX
SVO,2026-06-08,07:30,08:23,D,16,Pobeda,DP 6911,Mineralnyye Vody,MRV
SVO,2026-06-08,07:35,07:27,B,118,Aeroflot,SU 1400,Ekaterinburg,SVX
SVO,2026-06-08,07:35,07:30,C,143,Aeroflot,SU 2142,Antalya,AYT
SVO,2026-06-08,07:45,07:42,B,116,Aeroflot,SU 1366,Stavropol,STW
SVO,2026-06-08,07:45,07:45,C,137,Aeroflot,SU 2120,Bodrum,BJV
SVO,2026-06-08,07:45,07:43,C,140,Royal Air Maroc,AT 221,Casablanca,CMN
SVO,2026-06-08,07:50,07:50,B,101,Aeroflot,SU 1052,Makhachkala,MCX
SVO,2026-06-08,07:50,07:44,B,108,Aeroflot,SU 1678,Astrakhan,ASF
SVO,2026-06-08,07:55,07:49,B,114,Aeroflot,SU 1176,Sochi,AER
SVO,2026-06-08,07:55,07:58,D,1,Pobeda,DP 6905,Vladikavkaz,OGZ
SVO,2026-06-08,08:00,07:52,B,112,Aeroflot,SU 1032,Kaliningrad,KGD
SVO,2026-06-08,08:00,08:03,D,3,Pobeda,DP 6841,Kazan,KZN
SVO,2026-06-08,08:05,07:56,B,115,Aeroflot,SU 1268,Kazan,KZN
SVO,2026-06-08,08:05,08:02,B,120,Aeroflot,SU 1304,Mineralnyye Vody,MRV
SVO,2026-06-08,08:10,08:14,B,106,"Rossiya,Aeroflot","FV 6503,SU 6503",Arkhangelsk,ARH
SVO,2026-06-08,08:10,08:05,C,128,Aeroflot,SU 1860,Yerevan,EVN
SVO,2026-06-08,08:10,13:26,D,13,Pobeda,DP 6939,Sochi,AER
SVO,2026-06-08,08:15,08:14,B,107,"Rossiya,Aeroflot","FV 6309,SU 6309",Kaliningrad,KGD
SVO,2026-06-08,08:20,08:20,B,119,Aeroflot,SU 1148,Gelendzhik,GDZ
SVO,2026-06-08,08:25,08:23,B,103,Aeroflot,SU 1108,Krasnodar,KRR
SVO,2026-06-08,08:25,08:18,B,117,Aeroflot,SU 1210,Samara,KUF
SVO,2026-06-08,08:30,08:30,B,101,Aeroflot,SU 1200,Perm,PEE
SVO,2026-06-08,08:30,08:31,B,102,"Rossiya,Aeroflot","FV 6131,SU 6131",Saint-Petersburg,LED
SVO,2026-06-08,08:30,08:58,B,104,Aeroflot,SU 1504,Tyumen,TJM
SVO,2026-06-08,08:45,08:37,B,111,Aeroflot,SU 1498,Grozny,GRV
SVO,2026-06-08,08:45,08:44,C,145,Aeroflot,SU 2136,Istanbul,IST
SVO,2026-06-08,08:50,08:49,B,103,"Rossiya,Aeroflot","FV 6415,SU 6415",Volgograd,VOG
SVO,2026-06-08,08:55,09:07,D,3,Pobeda,DP 6821,Saint-Petersburg,LED
SVO,2026-06-08,09:00,09:02,B,101,"Rossiya,Aeroflot","FV 6167,SU 6167,SU 6801",Saint-Petersburg,LED
SVO,2026-06-08,09:00,08:54,B,118,Aeroflot,SU 1016,Kaliningrad,KGD
SVO,2026-06-08,09:10,09:09,C,142,Aeroflot,SU 1830,Minsk,MSQ
SVO,2026-06-08,09:10,09:12,D,1,Pobeda,DP 6927,Makhachkala,MCX
SVO,2026-06-08,09:15,09:08,B,110,Aeroflot,SU 1320,Murmansk,MMK
SVO,2026-06-08,09:15,09:14,C,139,Aeroflot,SU 2124,Antalya,AYT
SVO,2026-06-08,09:20,09:15,B,116,Aeroflot,SU 1230,Ufa,UFA
SVO,2026-06-08,09:20,09:17,B,122,Aeroflot,SU 1094,Chelyabinsk,CEK
