airport,flight_date,scheduled_time,actual_time,terminal,gate,airlines,flight_numbers,destination,destination_iata
SVO,2026-09-09,00:05,00:16,B,112,Аэрофлот,SU 1484,Красноярск,KJA
SVO,2026-09-09,00:05,00:20,B,113,Аэрофлот,SU 1424,Уфа,UFA
SVO,2026-09-09,00:05,00:24,C,134,Аэрофлот,SU 1942,Алматы,ALA
SVO,2026-09-09,00:10,00:26,B,101,Аэрофлот,SU 1524,Горно-Алтайск,RGK
SVO,2026-09-09,00:10,00:28,C,145,Аэрофлот,SU 2162,Анталья,AYT
SVO,2026-09-09,00:15,01:46,B,107,Аэрофлот,SU 1478,Абакан,ABA
SVO,2026-09-09,00:15,00:51,C,142,Southwind Airlines,2S 136,Анталья,AYT
SVO,2026-09-09,00:20,00:33,C,136,Аэрофлот,SU 1834,Минск,MSQ
SVO,2026-09-09,00:25,00:46,C,144,Аэрофлот,SU 2128,Анталья,AYT
SVO,2026-09-09,00:25,00:37,D,1,Победа,DP 6511,Пермь,PEE
SVO,2026-09-09,00:25,00:34,D,3,Победа,DP 6503,Уфа,UFA
SVO,2026-09-09,00:30,00:36,B,106,Аэрофлот,SU 1092,Челябинск,CEK
SVO,2026-09-09,00:35,00:40,B,108,Аэрофлот,SU 1244,Оренбург,REN
SVO,2026-09-09,00:35,00:41,B,109,Аэрофлот,SU 1568,Тюмень,TJM
SVO,2026-09-09,00:40,00:55,B,104,Аэрофлот,SU 1638,Омск,OMS
SVO,2026-09-09,00:40,00:47,B,120,Аэрофлот,SU 1430,Барнаул,BAX
SVO,2026-09-09,00:40,00:57,D,13,Победа,DP 6541,Екатеринбург,SVX
SVO,2026-09-09,00:45,00:53,B,110,Аэрофлот,SU 1428,Магнитогорск,MQF
SVO,2026-09-09,00:50,01:30,D,1,Победа,DP 6513,Пермь,PEE
SVO,2026-09-09,00:55,01:01,B,121,Аэрофлот,SU 1482,Красноярск,KJA
SVO,2026-09-09,01:00,01:07,B,123,Аэрофлот,SU 1382,Ханты-Мансийск,HMA
SVO,2026-09-09,01:00,01:12,C,128,Аэрофлот,SU 2170,Стамбул,IST
SVO,2026-09-09,01:05,01:14,B,122,Аэрофлот,SU 1306,Новосибирск,OVB
SVO,2026-09-09,01:05,01:21,C,132,Аэрофлот,SU 1894,Ош,OSS
SVO,2026-09-09,01:10,01:26,C,125,Southwind Airlines,2S 12,Анталья,AYT
SVO,2026-09-09,01:15,01:37,C,126,Southwind Airlines,2S 172,Даламан,DLM
SVO,2026-09-09,01:15,01:28,C,130,Аэрофлот,SU 1966,Ереван,EVN
SVO,2026-09-09,01:30,01:48,B,101,"Россия,Аэрофлот","FV 6907,SU 6907",Челябинск,CEK
SVO,2026-09-09,01:30,01:43,B,103,Аэрофлот,SU 1562,Иркутск,IKT
SVO,2026-09-09,01:40,01:52,B,111,Аэрофлот,SU 1512,Сургут,SGC
SVO,2026-09-09,01:40,01:51,C,141,Аэрофлот,SU 424,Хургада,HRG
SVO,2026-09-09,01:50,02:05,C,146,Royal Air Maroc,AT 223,Касабланка,CMN
SVO,2026-09-09,02:10,02:31,B,103,Аэрофлот,SU 1054,Махачкала,MCX
SVO,2026-09-09,02:15,02:33,C,130,Аэрофлот,SU 2148,Анталья,AYT
SVO,2026-09-09,02:20,02:38,B,106,Аэрофлот,SU 1466,Екатеринбург,SVX
SVO,2026-09-09,02:20,02:35,B,109,Аэрофлот,SU 1172,Астрахань,ASF
SVO,2026-09-09,02:40,02:48,C,140,Аэрофлот,SU 428,Шарм-эль-Шейх,SSH
SVO,2026-09-09,02:45,04:19,C,146,Corendon Airlines,XC 9301,Анталья,AYT
SVO,2026-09-09,02:55,03:11,B,101,"Россия,Аэрофлот","FV 6591,SU 6591",Пермь,PEE
SVO,2026-09-09,02:55,03:14,C,141,Air Serbia,JU 137,Белград,BEG
SVO,2026-09-09,03:10,03:16,C,144,Ширак Авиа,5G 710,Ереван,EVN
SVO,2026-09-09,03:35,03:47,C,143,Россия,FV 6521,Костанай,KSN
SVO,2026-09-09,04:50,05:08,C,138,Аэрофлот,SU 244,Виктория,SEZ
SVO,2026-09-09,04:55,05:03,C,136,Аэрофлот,SU 524,Дубай,DXB
SVO,2026-09-09,05:00,05:17,C,142,"Россия,Аэрофлот","FV 6953,SU 6953",Анталья,AYT
SVO,2026-09-09,05:25,05:40,C,145,Аэрофлот,SU 2166,Анталья,AYT
