airport,flight_date,scheduled_time,actual_time,terminal,gate,airlines,flight_numbers,destination,destination_iata
SVO,2026-07-13,00:05,00:05,B,104,Aeroflot,SU 1424,Ufa,UFA
SVO,2026-07-13,00:05,02:53,B,114,"Rossiya,Aeroflot","FV 6537,SU 6537",Ufa,UFA
SVO,2026-07-13,00:05,00:49,B,123,Aeroflot,SU 1484,Krasnoyarsk,KJA
SVO,2026-07-13,00:05,00:55,C,132,Aeroflot,SU 1942,Almaty,ALA
SVO,2026-07-13,00:10,01:04,B,107,Aeroflot,SU 1524,Gorno-Altaysk,RGK
SVO,2026-07-13,00:10,00:41,C,129,AlMasria,UJ 620,Sharm el Sheikh,SSH
SVO,2026-07-13,00:10,01:21,C,133,Aeroflot,SU 2162,Antalya,AYT
SVO,2026-07-13,00:15,00:55,B,103,Aeroflot,SU 1478,Abakan,ABA
SVO,2026-07-13,00:20,01:36,C,139,Aeroflot,SU 1834,Minsk,MSQ
SVO,2026-07-13,00:25,01:58,C,144,Aeroflot,SU 2128,Antalya,AYT
SVO,2026-07-13,00:25,02:16,D,1,Pobeda,DP 5543,Ekaterinburg,SVX
SVO,2026-07-13,00:35,01:04,B,102,Aeroflot,SU 1568,Tyumen,TJM
SVO,2026-07-13,00:45,02:20,C,141,Southwind,2S 174,Antalya,AYT
SVO,2026-07-13,00:45,00:45,D,1,Pobeda,DP 5569,Chelyabinsk,CEK
SVO,2026-07-13,00:50,03:35,D,3,Pobeda,DP 6929,Makhachkala,MCX
SVO,2026-07-13,00:55,03:16,B,120,Aeroflot,SU 1482,Krasnoyarsk,KJA
SVO,2026-07-13,01:00,01:07,B,106,Aeroflot,SU 1382,Khanty-Mansiysk,HMA
SVO,2026-07-13,01:00,01:37,C,131,Aeroflot,SU 2170,Istanbul,IST
SVO,2026-07-13,01:10,02:11,C,145,"Southwind,Aeroflot","2S 12,SU 2164",Antalya,AYT
SVO,2026-07-13,01:15,01:31,C,128,Aeroflot,SU 1966,Yerevan,EVN
SVO,2026-07-13,01:20,01:20,B,103,Aeroflot,SU 1708,Vladivostok,VVO
SVO,2026-07-13,01:30,03:53,B,101,"Rossiya,Aeroflot","FV 6907,SU 6907,SU 1426",Chelyabinsk,CEK
SVO,2026-07-13,01:30,01:29,B,116,Aeroflot,SU 1562,Irkutsk,IKT
SVO,2026-07-13,01:40,01:52,B,108,Aeroflot,SU 1512,Surgut,SGC
SVO,2026-07-13,01:45,03:11,D,14,Smartavia,5N 231,Orenburg,REN
SVO,2026-07-13,01:55,02:06,B,121,Aeroflot,SU 1582,Gorno-Altaysk,RGK
SVO,2026-07-13,02:15,02:17,C,132,Aeroflot,SU 2148,Antalya,AYT
SVO,2026-07-13,02:15,02:11,C,142,Aeroflot,SU 428,Sharm el Sheikh,SSH
SVO,2026-07-13,02:20,03:41,B,112,Aeroflot,SU 1172,Astrakhan,ASF
SVO,2026-07-13,02:20,02:19,B,118,Aeroflot,SU 1466,Ekaterinburg,SVX
SVO,2026-07-13,02:25,02:25,B,122,Aeroflot,SU 1074,Sochi,AER
SVO,2026-07-13,02:30,02:28,C,129,"Rossiya,Aeroflot","FV 5953,SU 5953",Hurghada,HRG
SVO,2026-07-13,02:55,07:23,B,102,"Rossiya,Aeroflot","FV 6155,SU 6155",Nizhnekamsk,NBC
SVO,2026-07-13,02:55,02:55,B,123,"Rossiya,Aeroflot","FV 6591,SU 6591",Perm,PEE
SVO,2026-07-13,02:55,03:52,C,145,Air Serbia,JU 137,Belgrade,BEG
SVO,2026-07-13,03:10,03:09,C,140,Shirak Avia,5G 710,Yerevan,EVN
SVO,2026-07-13,04:50,04:54,C,125,"Rossiya,Aeroflot","FV 6953,SU 6953",Antalya,AYT
SVO,2026-07-13,04:55,05:01,B,110,Aeroflot,SU 1110,Mineralnyye Vody,MRV
SVO,2026-07-13,05:05,04:56,C,136,Aeroflot,SU 2166,Antalya,AYT
SVO,2026-07-13,05:25,07:45,B,106,Aeroflot,SU 1106,Krasnodar,KRR
SVO,2026-07-13,05:55,05:50,B,115,Aeroflot,SU 1270,Kazan,KZN
SVO,2026-07-13,06:00,05:55,B,104,"Rossiya,Aeroflot","FV 6075,SU 6075",Ulyanovsk,ULV
SVO,2026-07-13,06:00,05:57,B,105,"Rossiya,Aeroflot","FV 6299,SU 6299",Nizhnekamsk,NBC
SVO,2026-07-13,06:10,08:26,B,103,Aeroflot,SU 1256,Krasnodar,KRR
SVO,2026-07-13,06:10,06:05,B,116,Aeroflot,SU 1318,Murmansk,MMK
SVO,2026-07-13,06:20,06:24,B,103,"Rossiya,Aeroflot","FV 6405,SU 6405",Syktyvkar,SCW
SVO,2026-07-13,06:20,06:42,C,137,AlMasria,UJ 612,Sharm el Sheikh,SSH
SVO,2026-07-13,06:20,06:43,C,142,"Pegas Fly,Nordwind","EO 1293,N4 1293",Sokhumi,SUI
SVO,2026-07-13,06:30,06:28,B,101,Aeroflot,SU 1242,Orenburg,REN
SVO,2026-07-13,06:35,06:29,B,119,Aeroflot,SU 1000,Kaliningrad,KGD
SVO,2026-07-13,06:40,06:42,D,1,Pobeda,DP 6807,Cheboksary,CSY
SVO,2026-07-13,06:45,06:38,B,109,Aeroflot,SU 1154,Gelendzhik,GDZ
SVO,2026-07-13,06:45,06:40,B,122,Aeroflot,SU 1724,Khabarovsk,KHV
SVO,2026-07-13,06:45,06:47,D,3,Pobeda,DP 6823,Saint-Petersburg,LED
SVO,2026-07-13,06:50,07:14,D,13,Pobeda,DP 6903,Magas,IGT
SVO,2026-07-13,06:55,07:15,B,103,"Rossiya,Aeroflot","FV 6491,SU 6491",Saratov,GSV
SVO,2026-07-13,07:00,08:26,B,102,"Rossiya,Aeroflot","FV 6223,SU 6223",Chelyabinsk,CEK
SVO,2026-07-13,07:00,07:31,D,1,Pobeda,DP 6863,Saratov,GSV
SVO,2026-07-13,07:00,08:51,D,1,Pobeda,DP 6961,Astrakhan,ASF
SVO,2026-07-13,07:05,08:37,B,111,"Rossiya,Aeroflot","FV 6381,SU 6381",Izhevsk,IJK
SVO,2026-07-13,07:05,06:59,C,124,Aeroflot,SU 520,Dubai,DXB
SVO,2026-07-13,07:05,08:25,D,3,Pobeda,DP 6965,Volgograd,VOG
SVO,2026-07-13,07:10,07:32,B,114,Aeroflot,SU 1152,Sochi,AER
SVO,2026-07-13,07:15,08:14,B,104,Aeroflot,SU 6,Saint-Petersburg,LED
SVO,2026-07-13,07:20,07:13,B,120,Aeroflot,SU 1032,Kaliningrad,KGD
SVO,2026-07-13,07:20,07:18,C,125,Aeroflot,SU 2172,Istanbul,IST
SVO,2026-07-13,07:20,07:13,C,146,Aeroflot,SU 426,Sharm el Sheikh,SSH
SVO,2026-07-13,07:25,07:21,B,121,Aeroflot,SU 1180,Volgograd,VOG
SVO,2026-07-13,07:25,08:20,C,137,Aeroflot,SU 422,Hurghada,HRG
SVO,2026-07-13,07:30,07:24,B,102,"Rossiya,Aeroflot","FV 6811,SU 6811",Saransk,SKX
SVO,2026-07-13,07:30,11:38,D,1,Pobeda,DP 6911,Mineralnyye Vody,MRV
SVO,2026-07-13,07:35,07:35,B,110,Aeroflot,SU 1400,Ekaterinburg,SVX
SVO,2026-07-13,07:40,07:33,C,138,Aeroflot,SU 2120,Bodrum,BJV
SVO,2026-07-13,07:40,07:36,C,143,Aeroflot,SU 2142,Antalya,AYT
SVO,2026-07-13,07:45,07:39,B,113,Aeroflot,SU 1366,Stavropol,STW
SVO,2026-07-13,07:45,12:20,D,1,Pobeda,DP 6809,Kirov,KVX
SVO,2026-07-13,07:45,14:21,D,17,Pobeda,DP 6583,Samara,KUF
SVO,2026-07-13,07:50,07:55,B,104,Aeroflot,SU 1678,Astrakhan,ASF
SVO,2026-07-13,07:50,08:06,B,105,Aeroflot,SU 1052,Makhachkala,MCX
SVO,2026-07-13,07:55,07:53,B,118,Aeroflot,SU 1176,Sochi,AER
SVO,2026-07-13,07:55,07:52,C,140,Royal Air Maroc,AT 221,Casablanca,CMN
SVO,2026-07-13,08:00,08:03,B,101,"Rossiya,Aeroflot","FV 6127,SU 6955,SU 6127",Saint-Petersburg,LED
SVO,2026-07-13,08:00,07:55,B,116,Aeroflot,SU 1014,Kaliningrad,KGD
SVO,2026-07-13,08:00,09:30,D,1,Pobeda,DP 6841,Kazan,KZN
SVO,2026-07-13,08:05,10:06,B,104,Aeroflot,SU 1304,Mineralnyye Vody,MRV
SVO,2026-07-13,08:05,08:02,B,108,Aeroflot,SU 1268,Kazan,KZN
SVO,2026-07-13,08:10,11:03,B,102,"Rossiya,Aeroflot","FV 6503,SU 6503",Arkhangelsk,ARH
SVO,2026-07-13,08:10,08:02,C,127,Aeroflot,SU 1860,Yerevan,EVN
SVO,2026-07-13,08:15,10:27,B,103,"Rossiya,Aeroflot","FV 6309,SU 6309",Kaliningrad,KGD
SVO,2026-07-13,08:20,08:25,B,112,Aeroflot,SU 1042,Sochi,AER
SVO,2026-07-13,08:25,08:20,B,115,Aeroflot,SU 1210,Samara,KUF
SVO,2026-07-13,08:30,08:30,B,102,Aeroflot,SU 1200,Perm,PEE
SVO,2026-07-13,08:30,12:01,B,114,"Rossiya,Aeroflot","FV 6433,SU 6433",Perm,PEE
SVO,2026-07-13,08:30,08:24,B,119,Aeroflot,SU 1504,Tyumen,TJM
SVO,2026-07-13,08:40,08:37,B,109,Aeroflot,SU 1148,Gelendzhik,GDZ
SVO,2026-07-13,08:45,08:42,B,117,Aeroflot,SU 1498,Grozny,GRV
SVO,2026-07-13,08:45,08:41,C,129,Aeroflot,SU 2136,Istanbul,IST
SVO,2026-07-13,08:50,08:50,B,104,"Rossiya,Aeroflot","FV 6415,SU 6415",Volgograd,VOG
SVO,2026-07-13,09:00,10:43,B,112,"Rossiya,Aeroflot","FV 6167,SU 6167",Saint-Petersburg,LED
SVO,2026-07-13,09:00,08:57,B,120,Aeroflot,SU 1016,Kaliningrad,KGD
SVO,2026-07-13,09:00,08:53,B,121,"Rossiya,Aeroflot","FV 6529,SU 6529",Nizhnekamsk,NBC
SVO,2026-07-13,09:05,10:43,D,1,Pobeda,DP 6905,Vladikavkaz,OGZ
SVO,2026-07-13,09:10,09:29,C,142,Aeroflot,SU 1830,Minsk,MSQ
SVO,2026-07-13,09:10,11:25,D,3,Pobeda,DP 6927,Makhachkala,MCX
SVO,2026-07-13,09:15,09:14,B,113,Aeroflot,SU 1320,Murmansk,MMK
SVO,2026-07-13,09:15,09:09,C,136,Aeroflot,SU 2124,Antalya,AYT
SVO,2026-07-13,09:15,09:24,D,3,Pobeda,DP 6821,Saint-Petersburg,LED
SVO,2026-07-13,09:20,09:18,B,103,Aeroflot,SU 1230,Ufa,UFA
SVO,2026-07-13,09:20,09:19,B,115,Aeroflot,SU 1094,Chelyabinsk,CEK
SVO,2026-07-13,09:20,09:20,C,130,Aeroflot,SU 1886,Bishkek,BSZ
SVO,2026-07-13,09:25,09:23,B,104,Aeroflot,SU 1602,Samara,KUF
SVO,2026-07-13,09:25,10:32,B,114,Aeroflot,SU 1044,Sochi,AER
SVO,2026-07-13,09:25,09:23,B,117,Aeroflot,SU 1544,Penza,PEZ
SVO,2026-07-13,09:30,09:29,B,101,Aeroflot,SU 1416,Ekaterinburg,SVX
SVO,2026-07-13,09:30,09:21,B,108,Severstal Aircompany,D2 152,Cherepovets,CEE
SVO,2026-07-13,09:30,09:24,C,139,Aeroflot,SU 1866,Yerevan,EVN
SVO,2026-07-13,09:35,09:35,B,102,"Rossiya,Aeroflot","FV 6171,SU 6171",Orenburg,REN
SVO,2026-07-13,09:35,09:31,B,122,Aeroflot,SU 1518,Gorno-Altaysk,RGK
SVO,2026-07-13,09:40,11:45,B,110,"Rossiya,Aeroflot","FV 6385,SU 6385",Kazan,KZN
SVO,2026-07-13,09:40,09:40,C,128,Aeroflot,SU 1946,Almaty,ALA
SVO,2026-07-13,09:45,09:42,B,105,Aeroflot,SU 1688,Omsk,OMS
SVO,2026-07-13,09:45,09:40,B,119,Aeroflot,SU 10,Saint-Petersburg,LED
SVO,2026-07-13,09:45,09:45,C,145,Aeroflot,SU 400,Cairo,CAI
SVO,2026-07-13,09:50,09:56,B,118,Aeroflot,SU 1486,Krasnoyarsk,KJA
SVO,2026-07-13,09:50,10:29,B,123,Aeroflot,SU 1138,Sochi,AER
SVO,2026-07-13,09:50,09:50,C,143,Belavia,B2 976,Minsk,MSQ
SVO,2026-07-13,10:00,10:55,B,101,"Rossiya,Aeroflot","FV 6213,SU 6213",Saint-Petersburg,LED
SVO,2026-07-13,10:05,10:04,B,102,"Rossiya,Aeroflot","FV 6371,SU 6371",Samara,KUF
SVO,2026-07-13,10:05,10:01,B,116,Aeroflot,SU 1460,Novosibirsk,OVB
SVO,2026-07-13,10:05,10:21,B,120,Aeroflot,SU 1188,Volgograd,VOG
SVO,2026-07-13,10:20,10:23,B,117,"Rossiya,Aeroflot","FV 6151,SU 6151",Kaliningrad,KGD
SVO,2026-07-13,10:20,10:36,B,121,Aeroflot,SU 1208,Krasnodar,KRR
SVO,2026-07-13,10:25,11:53,B,120,Aeroflot,SU 1312,Mineralnyye Vody,MRV
SVO,2026-07-13,10:30,10:33,B,111,"Rossiya,Aeroflot","FV 6313,SU 6313",Kaliningrad,KGD
SVO,2026-07-13,10:30,11:32,B,119,"Rossiya,Aeroflot","FV 6399,SU 6399",Perm,PEE
SVO,2026-07-13,10:30,10:41,C,129,Aeroflot,SU 2126,Antalya,AYT
SVO,2026-07-13,10:35,10:43,B,114,Yamal,YC 190,Novyy Urengoy,NUX
SVO,2026-07-13,10:35,10:25,C,138,Aeroflot,SU 1854,Baku,GYD
SVO,2026-07-13,10:40,10:45,B,115,Aeroflot,SU 1060,Orsk,OSW
SVO,2026-07-13,10:45,12:18,C,131,Aeroflot,SU 2130,Istanbul,IST
SVO,2026-07-13,10:50,11:15,B,107,Aeroflot,SU 1610,Sochi,AER
SVO,2026-07-13,10:55,11:40,B,116,Aeroflot,SU 1058,Makhachkala,MCX
SVO,2026-07-13,11:00,11:04,B,103,"Rossiya,Aeroflot","FV 6059,SU 6059",Saint-Petersburg,LED
SVO,2026-07-13,11:00,10:55,C,127,Aeroflot,SU 2122,Dalaman,DLM
SVO,2026-07-13,11:00,11:07,C,137,Aeroflot,SU 526,Dubai,DXB
SVO,2026-07-13,11:05,11:35,B,118,Aeroflot,SU 1402,Ekaterinburg,SVX
SVO,2026-07-13,11:05,11:04,C,125,Etihad,EY 842,Abu Dhabi,AUH
SVO,2026-07-13,11:05,11:05,C,141,Aeroflot,SU 2158,Antalya,AYT
SVO,2026-07-13,11:10,11:10,B,104,Aeroflot,SU 1202,Perm,PEE
SVO,2026-07-13,11:10,11:08,B,113,"Rossiya,Aeroflot","FV 6295,SU 6295",Perm,PEE
SVO,2026-07-13,11:10,13:49,D,3,Pobeda,DP 6947,Sochi,AER
SVO,2026-07-13,11:15,13:12,B,104,"Rossiya,Aeroflot","FV 6363,SU 6363",Tyumen,TJM
SVO,2026-07-13,11:15,12:19,D,3,Pobeda,DP 6833,Kaliningrad,KGD
SVO,2026-07-13,11:20,11:16,B,108,"Rossiya,Aeroflot","FV 6197,SU 6197",Kazan,KZN
SVO,2026-07-13,11:20,12:12,B,109,Aeroflot,SU 1572,Elista,ESL
SVO,2026-07-13,11:25,11:54,D,13,Pobeda,DP 6901,Nalchik,NAL
SVO,2026-07-13,11:30,12:33,B,103,"Rossiya,Aeroflot","FV 6477,SU 6477",Murmansk,MMK
SVO,2026-07-13,11:30,12:27,B,106,Yamal,YC 132,Salekhard,SLY
SVO,2026-07-13,11:35,11:31,C,140,Aeroflot,SU 2146,Antalya,AYT
SVO,2026-07-13,11:40,13:10,B,110,Aeroflot,SU 1444,Irkutsk,IKT
SVO,2026-07-13,11:40,11:40,B,117,Aeroflot,SU 1234,Ufa,UFA
SVO,2026-07-13,11:45,13:51,D,1,Pobeda,DP 6919,Stavropol,STW
SVO,2026-07-13,11:50,12:03,B,104,Aeroflot,SU 1018,Kaliningrad,KGD
SVO,2026-07-13,11:50,15:15,B,109,Aeroflot,SU 1490,Krasnoyarsk,KJA
SVO,2026-07-13,11:55,13:28,B,101,"Rossiya,Aeroflot","FV 6173,SU 6173",Orenburg,REN
SVO,2026-07-13,11:55,12:16,C,142,Aeroflot,SU 1962,Astana,NQZ
SVO,2026-07-13,11:55,11:49,D,14,Smartavia,5N 217,Arkhangelsk,ARH
SVO,2026-07-13,12:00,13:11,B,107,Aeroflot,SU 1156,Krasnodar,KRR
SVO,2026-07-13,12:00,11:55,B,122,Aeroflot,SU 18,Saint-Petersburg,LED
SVO,2026-07-13,12:05,14:40,D,15,Pobeda,DP 6873,Kaliningrad,KGD
SVO,2026-07-13,12:10,13:01,B,112,Aeroflot,SU 1028,Mineralnyye Vody,MRV
SVO,2026-07-13,12:10,14:15,D,13,Pobeda,DP 6845,Nizhnekamsk,NBC
SVO,2026-07-13,12:15,12:15,B,101,"Rossiya,Aeroflot","FV 6535,SU 6535",Ufa,UFA
SVO,2026-07-13,12:15,12:08,C,143,Aeroflot,SU 1842,Minsk,MSQ
SVO,2026-07-13,12:20,12:18,C,139,Aeroflot,SU 2160,Antalya,AYT
SVO,2026-07-13,12:25,12:24,B,115,"Rossiya,Aeroflot","FV 6193,SU 6193",Chelyabinsk,CEK
SVO,2026-07-13,12:25,12:24,C,144,Aeroflot,SU 420,Hurghada,HRG
SVO,2026-07-13,12:30,12:59,B,118,Aeroflot,SU 1020,Ekaterinburg,SVX
SVO,2026-07-13,12:40,16:57,D,17,Pobeda,DP 6969,Volgograd,VOG
SVO,2026-07-13,12:45,12:43,C,136,Aeroflot,SU 2156,Antalya,AYT
SVO,2026-07-13,12:55,12:55,B,102,"Rossiya,Aeroflot","FV 6375,SU 6375",Izhevsk,IJK
SVO,2026-07-13,12:55,12:49,B,111,Aeroflot,SU 1136,Sochi,AER
SVO,2026-07-13,13:00,13:00,B,101,"Rossiya,Aeroflot","FV 6271,SU 6271",Saint-Petersburg,LED
SVO,2026-07-13,13:00,13:20,C,145,Aeroflot,SU 2154,Bodrum,BJV
SVO,2026-07-13,13:00,12:58,C,146,Gulf Air,GF 13,Manama,BAH
SVO,2026-07-13,13:05,13:05,B,108,"Rossiya,Aeroflot","FV 6383,SU 6383",Kazan,KZN
SVO,2026-07-13,13:10,13:23,B,116,Aeroflot,SU 1346,Apatity,KVK
SVO,2026-07-13,13:10,16:34,D,1,Pobeda,DP 6861,Saratov,GSV
SVO,2026-07-13,13:15,13:11,B,117,Aeroflot,SU 1266,Krasnodar,KRR
SVO,2026-07-13,13:15,13:13,C,125,Southwind,2S 2,Antalya,AYT
SVO,2026-07-13,13:20,13:20,B,119,Aeroflot,SU 1642,Astrakhan,ASF
SVO,2026-07-13,13:25,13:23,B,105,Aeroflot,SU 1310,Mineralnyye Vody,MRV
SVO,2026-07-13,13:25,14:05,B,118,"Rossiya,Aeroflot","FV 6507,SU 6507",Perm,PEE
SVO,2026-07-13,13:25,16:24,D,13,Pobeda,DP 6913,Mineralnyye Vody,MRV
SVO,2026-07-13,13:30,18:20,B,102,Nordwind,N4 105,Kaliningrad,KGD
SVO,2026-07-13,13:30,13:29,B,123,Aeroflot,SU 1082,Gelendzhik,GDZ
SVO,2026-07-13,13:35,13:35,B,109,Aeroflot,SU 1004,Kaliningrad,KGD
SVO,2026-07-13,13:40,13:34,B,120,Aeroflot,SU 1212,Samara,KUF
SVO,2026-07-13,13:40,13:37,C,128,Aeroflot,SU 2144,Antalya,AYT
SVO,2026-07-13,13:45,14:03,C,144,Belavia,B2 912,Brest,BQT
SVO,2026-07-13,13:50,14:31,B,107,"Rossiya,Aeroflot","FV 6063,SU 6063",Saratov,GSV
SVO,2026-07-13,13:55,13:46,C,129,Aeroflot,SU 2168,Dalaman,DLM
SVO,2026-07-13,14:00,16:10,B,102,"Rossiya,Aeroflot","FV 6855,SU 6855",Saint-Petersburg,LED
SVO,2026-07-13,14:00,15:17,D,1,Pobeda,DP 6835,Kaliningrad,KGD
SVO,2026-07-13,14:20,14:19,B,106,Aeroflot,SU 1122,Sochi,AER
SVO,2026-07-13,14:25,14:12,C,134,Hainan,HU 766,Haikou,HAK
SVO,2026-07-13,14:30,17:21,B,101,Aeroflot,SU 6145,Ufa,UFA
SVO,2026-07-13,14:30,14:30,B,104,Aeroflot,SU 1232,Ufa,UFA
SVO,2026-07-13,14:30,17:21,B,112,Rossiya,FV 6145,Ufa,UFA
SVO,2026-07-13,14:30,14:27,C,142,Southwind,2S 172,Dalaman,DLM
SVO,2026-07-13,14:35,14:29,C,140,Aeroflot,SU 1856,Baku,GYD
SVO,2026-07-13,14:40,16:07,B,101,"Rossiya,Aeroflot","FV 6249,SU 6249",Nizhnekamsk,NBC
