airport,flight_date,scheduled_time,actual_time,terminal,gate,airlines,flight_numbers,destination,destination_iata
SVO,2026-08-21,00:05,00:16,B,102,Аэрофлот,SU 1484,Красноярск,KJA
SVO,2026-08-21,00:05,00:18,B,117,Аэрофлот,SU 1424,Уфа,UFA
SVO,2026-08-21,00:05,02:03,C,134,Аэрофлот,SU 1942,Алматы,ALA
SVO,2026-08-21,00:10,00:35,B,107,Аэрофлот,SU 1524,Горно-Алтайск,RGK
SVO,2026-08-21,00:10,00:20,C,139,Аэрофлот,SU 1834,Минск,MSQ
SVO,2026-08-21,00:15,00:32,B,120,Аэрофлот,SU 1478,Абакан,ABA
SVO,2026-08-21,00:15,00:29,C,130,Аэрофлот,SU 462,Хургада,HRG
SVO,2026-08-21,00:20,04:00,D,3,Победа,DP 6569,Челябинск,CEK
SVO,2026-08-21,00:25,01:30,B,105,Ikar,EO 59,Казань,KZN
SVO,2026-08-21,00:25,00:44,C,132,Аэрофлот,SU 2128,Анталья,AYT
SVO,2026-08-21,00:25,04:36,D,3,Победа,DP 6541,Екатеринбург,SVX
SVO,2026-08-21,00:30,01:03,B,101,"Россия,Аэрофлот","FV 6951,SU 6951",Санкт-Петербург,LED
SVO,2026-08-21,00:30,00:50,B,104,Аэрофлот,SU 1736,Петропавловск-Камчатский,PKC
SVO,2026-08-21,00:30,00:55,B,123,Аэрофлот,SU 1092,Челябинск,CEK
SVO,2026-08-21,00:35,00:48,B,103,Аэрофлот,SU 1244,Оренбург,REN
SVO,2026-08-21,00:35,00:43,B,109,Аэрофлот,SU 1568,Тюмень,TJM
SVO,2026-08-21,00:40,01:08,B,102,Аэрофлот,SU 1638,Омск,OMS
SVO,2026-08-21,00:40,01:22,B,106,Аэрофлот,SU 1430,Барнаул,BAX
SVO,2026-08-21,00:40,03:58,D,1,Победа,DP 6511,Пермь,PEE
SVO,2026-08-21,00:45,02:57,B,102,Аэрофлот,SU 1428,Магнитогорск,MQF
SVO,2026-08-21,00:45,01:59,B,121,Аэрофлот,SU 1456,Кемерово,KEJ
SVO,2026-08-21,00:45,01:47,C,140,Southwind Airlines,2S 174,Анталья,AYT
SVO,2026-08-21,00:50,10:19,D,1,Победа,DP 6929,Махачкала,MCX
SVO,2026-08-21,00:55,01:11,C,124,Аэрофлот,SU 2176,Даламан,DLM
SVO,2026-08-21,00:55,01:43,C,126,Southwind Airlines,2S 136,Анталья,AYT
SVO,2026-08-21,01:00,01:40,B,122,Аэрофлот,SU 1382,Ханты-Мансийск,HMA
