airport,flight_date,scheduled_time,actual_time,terminal,gate,airlines,flight_numbers,destination,destination_iata
SVO,2026-08-31,00:05,00:26,B,111,Аэрофлот,SU 1484,Красноярск,KJA
SVO,2026-08-31,00:05,01:01,B,114,Аэрофлот,SU 1424,Уфа,UFA
SVO,2026-08-31,00:05,00:19,C,140,Аэрофлот,SU 1942,Алматы,ALA
SVO,2026-08-31,00:10,00:38,B,119,Аэрофлот,SU 1524,Горно-Алтайск,RGK
SVO,2026-08-31,00:10,01:48,C,135,Аэрофлот,SU 2162,Анталья,AYT
SVO,2026-08-31,00:15,00:47,B,110,Аэрофлот,SU 1478,Абакан,ABA
SVO,2026-08-31,00:15,02:09,C,125,Аэрофлот,SU 1834,Минск,MSQ
SVO,2026-08-31,00:20,02:49,D,13,Победа,DP 6569,Челябинск,CEK
SVO,2026-08-31,00:25,00:34,C,134,Аэрофлот,SU 2128,Анталья,AYT
SVO,2026-08-31,00:25,02:41,D,1,Победа,DP 6511,Пермь,PEE
SVO,2026-08-31,00:30,00:49,B,101,Россия,SU 6951,Санкт-Петербург,LED
SVO,2026-08-31,00:30,00:57,B,103,Аэрофлот,SU 1736,Петропавловск-Камчатский,PKC
SVO,2026-08-31,00:30,01:18,B,120,Аэрофлот,SU 1092,Челябинск,CEK
SVO,2026-08-31,00:35,00:55,B,102,Аэрофлот,SU 1568,Тюмень,TJM
SVO,2026-08-31,00:35,01:31,B,103,Аэрофлот,SU 1456,Кемерово,KEJ
SVO,2026-08-31,00:35,01:35,B,122,Аэрофлот,SU 1244,Оренбург,REN
SVO,2026-08-31,00:40,00:51,B,107,Аэрофлот,SU 1638,Омск,OMS
SVO,2026-08-31,00:40,01:20,B,117,Аэрофлот,SU 1430,Барнаул,BAX
SVO,2026-08-31,00:40,04:06,D,3,Победа,DP 5541,Екатеринбург,SVX
SVO,2026-08-31,00:45,01:05,B,112,Аэрофлот,SU 1428,Магнитогорск,MQF
SVO,2026-08-31,00:45,01:16,C,146,Southwind Airlines,2S 174,Анталья,AYT
SVO,2026-08-31,00:50,02:28,C,138,Southwind Airlines,2S 136,Анталья,AYT
SVO,2026-08-31,00:50,03:50,D,3,Победа,DP 6929,Махачкала,MCX
SVO,2026-08-31,00:55,03:16,B,104,Аэрофлот,SU 1482,Красноярск,KJA
SVO,2026-08-31,01:00,01:22,B,113,Аэрофлот,SU 1382,Ханты-Мансийск,HMA
SVO,2026-08-31,01:00,01:25,C,145,Аэрофлот,SU 2170,Стамбул,IST
SVO,2026-08-31,01:10,01:55,C,142,Southwind Airlines,2S 12,Анталья,AYT
SVO,2026-08-31,01:15,01:39,C,128,Аэрофлот,SU 1966,Ереван,EVN
SVO,2026-08-31,01:20,01:43,B,115,Аэрофлот,SU 1708,Владивосток,VVO
SVO,2026-08-31,01:30,02:19,B,103,"Россия,Аэрофлот","FV 6907,SU 6907",Челябинск,CEK
SVO,2026-08-31,01:30,02:00,B,104,Аэрофлот,SU 1562,Иркутск,IKT
SVO,2026-08-31,01:40,02:10,B,108,Аэрофлот,SU 1512,Сургут,SGC
SVO,2026-08-31,01:45,02:47,B,111,Аэрофлот,SU 1472,Нижневартовск,NJC
SVO,2026-08-31,01:45,02:05,D,14,Smartavia,5N 231,Оренбург,REN
SVO,2026-08-31,02:10,02:22,B,106,Аэрофлот,SU 1054,Махачкала,MCX
SVO,2026-08-31,02:15,02:32,C,127,Аэрофлот,SU 2148,Анталья,AYT
SVO,2026-08-31,02:15,02:34,C,129,Аэрофлот,SU 428,Шарм-эль-Шейх,SSH
SVO,2026-08-31,02:20,02:39,B,103,Аэрофлот,SU 1466,Екатеринбург,SVX
SVO,2026-08-31,02:20,02:36,B,121,Аэрофлот,SU 1172,Астрахань,ASF
SVO,2026-08-31,02:25,02:38,B,123,Аэрофлот,SU 1074,Сочи,AER
SVO,2026-08-31,02:30,02:54,C,141,"Россия,Аэрофлот","FV 5953,SU 5953",Хургада,HRG
SVO,2026-08-31,02:45,03:14,C,135,Corendon Airlines,XC 9117,Анталья,AYT
SVO,2026-08-31,02:55,03:05,B,103,"Россия,Аэрофлот","FV 6591,SU 6591",Пермь,PEE
SVO,2026-08-31,02:55,03:17,C,143,Air Serbia,JU 137,Белград,BEG
SVO,2026-08-31,03:10,03:22,B,119,Россия,SU 6155,Нижнекамск,NBC
SVO,2026-08-31,03:10,03:43,C,142,Ширак Авиа,5G 710,Ереван,EVN
SVO,2026-08-31,04:50,05:05,C,145,"Россия,Аэрофлот","FV 6953,SU 6953",Анталья,AYT
SVO,2026-08-31,04:55,05:01,B,118,Аэрофлот,SU 1110,Сочи,AER
SVO,2026-08-31,05:05,05:19,C,124,Аэрофлот,SU 2166,Анталья,AYT
SVO,2026-08-31,05:35,05:37,B,112,Аэрофлот,SU 1106,Краснодар,KRR
SVO,2026-08-31,05:55,10:12,B,103,Аэрофлот,SU 1270,Казань,KZN
SVO,2026-08-31,06:00,10:05,B,114,"Россия,Аэрофлот","FV 6299,SU 6299",Нижнекамск,NBC
SVO,2026-08-31,06:00,08:41,B,114,Россия,SU 6075,Ульяновск,ULV
SVO,2026-08-31,06:10,06:17,B,115,Аэрофлот,SU 1256,Краснодар,KRR
SVO,2026-08-31,06:10,06:13,B,120,Аэрофлот,SU 1318,Мурманск,MMK
SVO,2026-08-31,06:20,06:41,C,130,"Ikar,Nordwind","EO 1293,N4 1293",Сухум,SUI
SVO,2026-08-31,06:30,06:34,B,108,Аэрофлот,SU 1242,Оренбург,REN
SVO,2026-08-31,06:35,06:37,B,110,Аэрофлот,SU 1000,Калининград,KGD
SVO,2026-08-31,06:40,08:12,D,3,Победа,DP 6807,Чебоксары,CSY
SVO,2026-08-31,06:45,06:42,B,118,Aeroflot,SU 1154,Gelendzhik,GDZ
SVO,2026-08-31,06:45,06:55,B,122,Аэрофлот,SU 1724,Хабаровск,KHV
SVO,2026-08-31,06:45,07:07,D,13,Победа,DP 6823,Санкт-Петербург,LED
SVO,2026-08-31,06:50,07:05,D,1,Победа,DP 6903,Магас,IGT
SVO,2026-08-31,06:50,07:02,D,3,Победа,DP 6961,Астрахань,ASF
SVO,2026-08-31,06:55,09:01,B,103,"Россия,Аэрофлот","FV 6491,SU 6491",Саратов,GSV
SVO,2026-08-31,07:00,07:10,B,102,Россия,SU 6223,Челябинск,CEK
SVO,2026-08-31,07:00,11:19,D,1,Победа,DP 6863,Саратов,GSV
SVO,2026-08-31,07:05,07:24,C,128,Аэрофлот,SU 520,Дубай,DXB
SVO,2026-08-31,07:05,09:21,D,1,Победа,DP 6965,Волгоград,VOG
SVO,2026-08-31,07:10,07:16,B,114,Аэрофлот,SU 1152,Сочи,AER
SVO,2026-08-31,07:15,07:21,B,101,Россия,SU 6351,Нижний Новгород,GOJ
SVO,2026-08-31,07:15,07:34,B,104,Аэрофлот,SU 6,Санкт-Петербург,LED
SVO,2026-08-31,07:20,07:36,B,109,Аэрофлот,SU 1032,Калининград,KGD
SVO,2026-08-31,07:20,07:30,C,136,Аэрофлот,SU 2172,Стамбул,IST
SVO,2026-08-31,07:20,07:32,C,146,Аэрофлот,SU 426,Шарм-эль-Шейх,SSH
SVO,2026-08-31,07:25,07:40,B,103,Аэрофлот,SU 1180,Волгоград,VOG
SVO,2026-08-31,07:25,07:38,C,141,Аэрофлот,SU 422,Хургада,HRG
SVO,2026-08-31,07:30,07:44,B,102,"Россия,Аэрофлот","FV 6811,SU 6811",Саранск,SKX
SVO,2026-08-31,07:30,08:17,D,1,Победа,DP 6911,Минеральные Воды,MRV
SVO,2026-08-31,07:30,07:41,D,3,Победа,DP 6837,Калининград,KGD
SVO,2026-08-31,07:35,11:40,B,106,Аэрофлот,SU 1400,Екатеринбург,SVX
SVO,2026-08-31,07:40,07:43,B,116,Аэрофлот,SU 1366,Ставрополь,STW
SVO,2026-08-31,07:40,07:50,C,125,Аэрофлот,SU 2120,Бодрум,BJV
SVO,2026-08-31,07:40,07:48,C,143,Аэрофлот,SU 2142,Анталья,AYT
SVO,2026-08-31,07:45,07:52,C,140,Royal Air Maroc,AT 221,Касабланка,CMN
SVO,2026-08-31,07:45,11:07,D,3,Победа,DP 6583,Самара,KUF
SVO,2026-08-31,07:45,09:25,D,3,Победа,DP 6809,Киров,KVX
SVO,2026-08-31,07:50,08:43,B,115,Аэрофлот,SU 1678,Астрахань,ASF
