airport,flight_date,scheduled_time,actual_time,terminal,gate,airlines,flight_numbers,destination,destination_iata
SVO,2026-06-21,00:05,23:58,B,115,Aeroflot,SU 1424,Ufa,UFA
SVO,2026-06-21,00:05,00:05,B,121,Aeroflot,SU 1484,Krasnoyarsk,KJA
SVO,2026-06-21,00:05,23:55,C,129,Aeroflot,SU 1942,Almaty,ALA
SVO,2026-06-21,00:10,00:10,B,122,Aeroflot,SU 1524,Gorno-Altaysk,RGK
SVO,2026-06-21,00:15,00:10,B,106,Aeroflot,SU 1478,Abakan,ABA
SVO,2026-06-21,00:15,00:09,C,132,Aeroflot,SU 1876,Bukhara,BHK
SVO,2026-06-21,00:15,02:52,D,1,Pobeda,DP 5569,Chelyabinsk,CEK
SVO,2026-06-21,00:20,02:35,D,3,Pobeda,DP 6541,Ekaterinburg,SVX
SVO,2026-06-21,00:25,00:22,C,140,Aeroflot,SU 2128,Antalya,AYT
SVO,2026-06-21,00:25,03:30,D,3,Pobeda,DP 6511,Perm,PEE
SVO,2026-06-21,00:30,00:23,B,107,Aeroflot,SU 1092,Chelyabinsk,CEK
SVO,2026-06-21,00:35,00:29,B,112,Aeroflot,SU 1568,Tyumen,TJM
SVO,2026-06-21,00:35,01:50,B,114,Aeroflot,SU 1244,Orenburg,REN
SVO,2026-06-21,00:40,00:39,B,110,Aeroflot,SU 1430,Barnaul,BAX
SVO,2026-06-21,00:40,00:36,B,111,Aeroflot,SU 1638,Omsk,OMS
SVO,2026-06-21,00:40,00:38,B,113,Aeroflot,SU 1456,Kemerovo,KEJ
SVO,2026-06-21,00:45,00:45,B,103,Aeroflot,SU 1428,Magnitogorsk,MQF
SVO,2026-06-21,00:55,01:44,B,109,Aeroflot,SU 1482,Krasnoyarsk,KJA
SVO,2026-06-21,01:00,01:02,B,101,"Rossiya,Aeroflot","FV 6699,SU 6699",Saint-Petersburg,LED
SVO,2026-06-21,01:00,00:59,B,108,Aeroflot,SU 1382,Khanty-Mansiysk,HMA
SVO,2026-06-21,01:05,01:05,B,116,Aeroflot,SU 1306,Novosibirsk,OVB
SVO,2026-06-21,01:05,01:02,C,138,Aeroflot,SU 1894,Osh,OSS
SVO,2026-06-21,01:15,01:11,C,139,Aeroflot,SU 1966,Yerevan,EVN
SVO,2026-06-21,01:20,01:26,B,104,"Rossiya,Aeroflot","FV 6293,SU 6293,SU 1708",Vladivostok,VVO
SVO,2026-06-21,01:25,01:23,C,128,Aeroflot,SU 424,Hurghada,HRG
SVO,2026-06-21,01:25,01:16,C,134,Pegas Fly,EO 3547,Nha Trang,CXR
SVO,2026-06-21,01:30,01:59,B,103,Aeroflot,SU 1562,Irkutsk,IKT
SVO,2026-06-21,01:35,01:28,B,119,Aeroflot,SU 1436,Ekaterinburg,SVX
SVO,2026-06-21,01:40,01:37,B,118,Aeroflot,SU 1512,Surgut,SGC
SVO,2026-06-21,01:45,01:43,B,102,Aeroflot,SU 1472,Nizhnevartovsk,NJC
SVO,2026-06-21,01:50,01:50,C,136,Aeroflot,SU 1936,Qaraghandy,KGF
SVO,2026-06-21,01:55,01:50,B,105,Aeroflot,SU 1582,Gorno-Altaysk,RGK
SVO,2026-06-21,02:10,02:03,B,117,Aeroflot,SU 1054,Makhachkala,MCX
SVO,2026-06-21,02:15,02:14,C,130,Aeroflot,SU 2148,Antalya,AYT
SVO,2026-06-21,02:20,02:17,B,120,Aeroflot,SU 1172,Astrakhan,ASF
SVO,2026-06-21,02:25,02:25,B,110,Aeroflot,SU 1074,Sochi,AER
SVO,2026-06-21,02:55,02:55,B,122,Aeroflot,SU 1250,Nizhnekamsk,NBC
SVO,2026-06-21,02:55,02:53,C,140,Air Serbia,JU 137,Belgrade,BEG
SVO,2026-06-21,03:35,03:29,C,144,"Rossiya,Aeroflot","FV 6521,SU 6521",Kostanay,KSN
SVO,2026-06-21,04:15,05:12,C,136,Corendon Air,XC 9305,Antalya,AYT
SVO,2026-06-21,04:20,04:19,C,138,Aeroflot,SU 434,Hurghada,HRG
