airport,flight_date,scheduled_time,actual_time,terminal,gate,airlines,flight_numbers,destination,destination_iata
SVO,2026-08-12,00:05,00:04,B,103,Aeroflot,SU 1484,Krasnoyarsk,KJA
SVO,2026-08-12,00:05,00:26,B,115,Aeroflot,SU 1424,Ufa,UFA
SVO,2026-08-12,00:05,00:16,C,145,Aeroflot,SU 1942,Almaty,ALA
SVO,2026-08-12,00:10,00:10,B,116,Aeroflot,SU 1524,Gorno-Altaysk,RGK
SVO,2026-08-12,00:10,00:20,C,140,Aeroflot,SU 2162,Antalya,AYT
SVO,2026-08-12,00:15,01:42,B,123,Aeroflot,SU 1478,Abakan,ABA
SVO,2026-08-12,00:15,00:31,C,129,Southwind,2S 136,Antalya,AYT
SVO,2026-08-12,00:15,00:20,C,131,Aeroflot,SU 2128,Antalya,AYT
SVO,2026-08-12,00:20,00:19,C,124,Aeroflot,SU 1834,Minsk,MSQ
SVO,2026-08-12,00:20,02:01,D,3,Pobeda,DP 6569,Chelyabinsk,CEK
SVO,2026-08-12,00:25,02:55,D,13,Pobeda,DP 6511,Perm,PEE
SVO,2026-08-12,00:25,03:02,D,3,Pobeda,DP 6541,Ekaterinburg,SVX
SVO,2026-08-12,00:30,00:27,B,101,"Rossiya,Aeroflot","FV 6951,SU 6951",Saint-Petersburg,LED
SVO,2026-08-12,00:30,00:23,B,105,Aeroflot,SU 1092,Chelyabinsk,CEK
SVO,2026-08-12,00:30,02:48,B,115,Aeroflot,SU 1736,Petropavlovsk-Kamchatskiy,PKC
SVO,2026-08-12,00:35,01:39,B,106,Aeroflot,SU 1244,Orenburg,REN
SVO,2026-08-12,00:35,00:30,B,112,Aeroflot,SU 1568,Tyumen,TJM
SVO,2026-08-12,00:40,00:40,B,102,Aeroflot,SU 1638,Omsk,OMS
SVO,2026-08-12,00:40,01:15,B,118,Aeroflot,SU 1430,Barnaul,BAX
SVO,2026-08-12,00:45,00:45,B,111,Aeroflot,SU 1428,Magnitogorsk,MQF
SVO,2026-08-12,00:50,03:10,D,1,Pobeda,DP 6929,Makhachkala,MCX
SVO,2026-08-12,00:55,00:55,B,103,Aeroflot,SU 1482,Krasnoyarsk,KJA
