airport,flight_date,scheduled_time,actual_time,terminal,gate,airlines,flight_numbers,destination,destination_iata
SVO,2026-06-13,00:05,00:05,B,113,Aeroflot,SU 1484,Krasnoyarsk,KJA
SVO,2026-06-13,00:05,00:14,B,114,Aeroflot,SU 1424,Ufa,UFA
SVO,2026-06-13,00:05,00:03,C,130,Aeroflot,SU 1942,Almaty,ALA
SVO,2026-06-13,00:10,00:09,B,104,Aeroflot,SU 1524,Gorno-Altaysk,RGK
SVO,2026-06-13,00:15,00:14,B,121,Aeroflot,SU 1478,Abakan,ABA
SVO,2026-06-13,00:15,00:09,C,132,Aeroflot,SU 1876,Bukhara,BHK
SVO,2026-06-13,00:20,01:42,C,136,Aeroflot,SU 1834,Minsk,MSQ
SVO,2026-06-13,00:20,02:24,D,1,Pobeda,DP 6541,Ekaterinburg,SVX
SVO,2026-06-13,00:25,00:21,C,141,Aeroflot,SU 2128,Antalya,AYT
SVO,2026-06-13,00:25,01:26,D,1,Pobeda,DP 5921,Makhachkala,MCX
SVO,2026-06-13,00:25,02:13,D,13,Pobeda,DP 6511,Perm,PEE
SVO,2026-06-13,00:30,00:30,B,101,Aeroflot,SU 1092,Chelyabinsk,CEK
SVO,2026-06-13,00:35,00:30,B,115,Aeroflot,SU 1568,Tyumen,TJM
SVO,2026-06-13,00:35,01:02,B,120,Aeroflot,SU 1244,Orenburg,REN
SVO,2026-06-13,00:40,00:44,B,106,Aeroflot,SU 1456,Kemerovo,KEJ
SVO,2026-06-13,00:40,00:40,B,110,Aeroflot,SU 1430,Barnaul,BAX
SVO,2026-06-13,00:40,00:35,B,111,Aeroflot,SU 1638,Omsk,OMS
SVO,2026-06-13,00:45,01:14,B,116,Aeroflot,SU 1428,Magnitogorsk,MQF
SVO,2026-06-13,00:45,03:03,D,1,Pobeda,DP 5561,Tyumen,TJM
SVO,2026-06-13,00:45,03:54,D,3,Pobeda,DP 6569,Chelyabinsk,CEK
