airport,flight_date,scheduled_time,actual_time,terminal,gate,airlines,flight_numbers,destination,destination_iata
SVO,2026-09-07,00:05,00:16,B,112,Аэрофлот,SU 1484,Красноярск,KJA
SVO,2026-09-07,00:05,00:21,B,120,Аэрофлот,SU 1424,Уфа,UFA
SVO,2026-09-07,00:05,00:14,C,134,Аэрофлот,SU 1942,Алматы,ALA
SVO,2026-09-07,00:10,00:22,B,108,Аэрофлот,SU 1524,Горно-Алтайск,RGK
SVO,2026-09-07,00:10,00:29,C,132,Аэрофлот,SU 2162,Анталья,AYT
SVO,2026-09-07,00:10,09:44,C,143,Almasria universal airlines,UJ 620,Шарм-эль-Шейх,SSH
SVO,2026-09-07,00:15,00:27,B,107,Аэрофлот,SU 1478,Абакан,ABA
SVO,2026-09-07,00:20,00:35,C,136,Аэрофлот,SU 1834,Минск,MSQ
SVO,2026-09-07,00:20,01:42,C,143,Nordwind,N4 1401,Бохтар,KQT
SVO,2026-09-07,00:25,00:38,C,133,Аэрофлот,SU 2128,Анталья,AYT
SVO,2026-09-07,00:25,02:09,D,1,Победа,DP 6511,Пермь,PEE
SVO,2026-09-07,00:25,01:33,D,1,Победа,DP 6541,Екатеринбург,SVX
SVO,2026-09-07,00:30,00:36,B,101,Россия,SU 6951,Санкт-Петербург,LED
SVO,2026-09-07,00:30,00:42,B,110,Аэрофлот,SU 1092,Челябинск,CEK
SVO,2026-09-07,00:30,00:48,B,114,Аэрофлот,SU 1736,Петропавловск-Камчатский,PKC
SVO,2026-09-07,00:35,00:46,B,117,Аэрофлот,SU 1244,Оренбург,REN
SVO,2026-09-07,00:35,00:51,B,123,Аэрофлот,SU 1568,Тюмень,TJM
SVO,2026-09-07,00:40,01:01,B,115,Аэрофлот,SU 1638,Омск,OMS
SVO,2026-09-07,00:40,01:07,B,121,Аэрофлот,SU 1430,Барнаул,BAX
SVO,2026-09-07,00:40,01:03,C,125,Southwind Airlines,2S 136,Анталья,AYT
SVO,2026-09-07,00:45,00:56,B,105,Аэрофлот,SU 1428,Магнитогорск,MQF
SVO,2026-09-07,00:45,01:15,C,137,Southwind Airlines,2S 174,Анталья,AYT
SVO,2026-09-07,00:45,03:05,D,1,Победа,DP 6503,Уфа,UFA
SVO,2026-09-07,00:50,01:48,D,13,Победа,DP 6569,Челябинск,CEK
SVO,2026-09-07,00:55,01:40,B,102,Аэрофлот,SU 1482,Красноярск,KJA
SVO,2026-09-07,01:00,01:16,B,104,Аэрофлот,SU 1382,Ханты-Мансийск,HMA
SVO,2026-09-07,01:00,01:13,C,142,Аэрофлот,SU 2170,Стамбул,IST
SVO,2026-09-07,01:10,01:45,C,126,Southwind Airlines,2S 12,Анталья,AYT
SVO,2026-09-07,01:15,01:25,C,144,Аэрофлот,SU 1966,Ереван,EVN
SVO,2026-09-07,01:20,01:37,B,101,Аэрофлот,SU 1708,Владивосток,VVO
SVO,2026-09-07,01:30,01:43,B,103,"Россия,Аэрофлот","FV 6907,SU 6907",Челябинск,CEK
SVO,2026-09-07,01:30,01:35,B,111,Аэрофлот,SU 1562,Иркутск,IKT
SVO,2026-09-07,01:40,01:51,B,112,Аэрофлот,SU 1512,Сургут,SGC
