airport,flight_date,scheduled_time,actual_time,terminal,gate,airlines,flight_numbers,destination,destination_iata
SVO,2026-09-02,00:05,00:20,B,102,Аэрофлот,SU 1424,Уфа,UFA
SVO,2026-09-02,00:05,00:14,B,117,Аэрофлот,SU 1484,Красноярск,KJA
SVO,2026-09-02,00:05,01:42,C,138,Аэрофлот,SU 1942,Алматы,ALA
SVO,2026-09-02,00:10,00:23,B,116,Аэрофлот,SU 1524,Горно-Алтайск,RGK
SVO,2026-09-02,00:10,00:18,C,132,Аэрофлот,SU 2162,Анталья,AYT
SVO,2026-09-02,00:15,00:38,B,106,Аэрофлот,SU 1782,Владивосток,VVO
SVO,2026-09-02,00:15,00:59,B,114,Аэрофлот,SU 1478,Абакан,ABA
SVO,2026-09-02,00:15,00:32,C,130,Аэрофлот,SU 2128,Анталья,AYT
SVO,2026-09-02,00:20,00:34,C,125,Аэрофлот,SU 1834,Минск,MSQ
SVO,2026-09-02,00:20,00:53,C,142,Southwind Airlines,2S 136,Анталья,AYT
SVO,2026-09-02,00:25,02:13,D,1,Победа,DP 6511,Пермь,PEE
SVO,2026-09-02,00:25,02:29,D,3,Победа,DP 6503,Уфа,UFA
SVO,2026-09-02,00:30,00:51,B,101,Россия,SU 6951,Санкт-Петербург,LED
SVO,2026-09-02,00:30,00:57,B,103,Аэрофлот,SU 1092,Челябинск,CEK
SVO,2026-09-02,00:30,01:03,B,119,Аэрофлот,SU 1736,Петропавловск-Камчатский,PKC
SVO,2026-09-02,00:35,02:18,B,108,Аэрофлот,SU 1568,Тюмень,TJM
SVO,2026-09-02,00:35,00:49,B,122,Аэрофлот,SU 1244,Оренбург,REN
SVO,2026-09-02,00:40,01:01,B,102,Аэрофлот,SU 1430,Барнаул,BAX
SVO,2026-09-02,00:40,01:07,B,104,Аэрофлот,SU 1638,Омск,OMS
SVO,2026-09-02,00:40,02:26,D,14,Победа,DP 6541,Екатеринбург,SVX
SVO,2026-09-02,00:45,01:57,B,117,Аэрофлот,SU 1428,Магнитогорск,MQF
SVO,2026-09-02,00:50,01:58,D,3,Победа,DP 6513,Пермь,PEE
SVO,2026-09-02,00:55,01:20,B,121,Аэрофлот,SU 1482,Красноярск,KJA
SVO,2026-09-02,01:00,02:05,B,123,Аэрофлот,SU 1382,Ханты-Мансийск,HMA
SVO,2026-09-02,01:00,02:24,C,131,Аэрофлот,SU 2170,Стамбул,IST
SVO,2026-09-02,01:05,02:10,B,107,Аэрофлот,SU 1306,Новосибирск,OVB
SVO,2026-09-02,01:05,01:46,C,129,Аэрофлот,SU 1894,Ош,OSS
SVO,2026-09-02,01:10,01:33,C,145,Southwind Airlines,2S 12,Анталья,AYT
SVO,2026-09-02,01:15,01:35,C,128,Аэрофлот,SU 1966,Ереван,EVN
SVO,2026-09-02,01:15,01:52,C,139,Southwind Airlines,2S 172,Даламан,DLM
SVO,2026-09-02,01:20,01:50,B,111,Аэрофлот,SU 1708,Владивосток,VVO
SVO,2026-09-02,01:30,02:27,B,101,"Россия,Аэрофлот","FV 6907,SU 6907",Челябинск,CEK
SVO,2026-09-02,01:30,01:54,B,110,Аэрофлот,SU 1562,Иркутск,IKT
SVO,2026-09-02,01:40,02:12,B,118,Аэрофлот,SU 1512,Сургут,SGC
SVO,2026-09-02,01:40,02:17,C,130,Аэрофлот,SU 424,Хургада,HRG
SVO,2026-09-02,01:50,02:36,C,140,Royal Air Maroc,AT 223,Касабланка,CMN
SVO,2026-09-02,02:10,02:30,B,115,Аэрофлот,SU 1054,Махачкала,MCX
SVO,2026-09-02,02:15,02:32,C,144,Аэрофлот,SU 2148,Анталья,AYT
SVO,2026-09-02,02:20,02:33,B,113,Аэрофлот,SU 1172,Астрахань,ASF
SVO,2026-09-02,02:20,03:25,B,114,Аэрофлот,SU 1466,Екатеринбург,SVX
SVO,2026-09-02,02:25,03:01,B,106,Аэрофлот,SU 1074,Сочи,AER
SVO,2026-09-02,02:40,03:22,C,124,Аэрофлот,SU 428,Шарм-эль-Шейх,SSH
SVO,2026-09-02,02:45,03:20,C,133,Ikar,EO 3545,Нячанг,CXR
SVO,2026-09-02,02:45,03:14,C,145,Corendon Airlines,XC 9301,Анталья,AYT
SVO,2026-09-02,02:55,03:08,B,101,"Россия,Аэрофлот","FV 6591,SU 6591",Пермь,PEE
SVO,2026-09-02,02:55,03:10,C,146,Air Serbia,JU 137,Белград,BEG
SVO,2026-09-02,03:10,03:23,C,142,Ширак Авиа,5G 710,Ереван,EVN
SVO,2026-09-02,03:35,03:41,C,125,"Россия,Аэрофлот","FV 6521,SU 6521",Костанай,KSN
SVO,2026-09-02,04:50,05:12,C,137,Аэрофлот,SU 244,Виктория,SEZ
SVO,2026-09-02,04:55,05:06,B,105,Аэрофлот,SU 1110,Сочи,AER
SVO,2026-09-02,04:55,11:14,C,139,Аэрофлот,SU 524,Дубай,DXB
SVO,2026-09-02,05:00,05:17,C,128,"Россия,Аэрофлот","FV 6953,SU 6953",Анталья,AYT
SVO,2026-09-02,05:25,05:38,C,134,Аэрофлот,SU 2166,Анталья,AYT
SVO,2026-09-02,05:50,05:58,C,144,"Ikar,Nordwind","EO 1293,N4 1293",Сухум,SUI
SVO,2026-09-02,05:55,06:02,B,114,Аэрофлот,SU 1270,Казань,KZN
SVO,2026-09-02,05:55,07:05,C,145,Air Cairo,SM 938,Шарм-эль-Шейх,SSH
SVO,2026-09-02,06:00,06:07,B,103,Россия,SU 6075,Ульяновск,ULV
SVO,2026-09-02,06:00,06:04,B,104,"Россия,Аэрофлот","FV 6299,SU 6299",Нижнекамск,NBC
SVO,2026-09-02,06:00,07:00,C,142,Almasria universal airlines,UJ 612,Шарм-эль-Шейх,SSH
SVO,2026-09-02,06:10,06:31,B,116,Аэрофлот,SU 1318,Мурманск,MMK
SVO,2026-09-02,06:10,06:25,B,121,Аэрофлот,SU 1256,Краснодар,KRR
SVO,2026-09-02,06:25,06:36,B,106,Аэрофлот,SU 1000,Калининград,KGD
SVO,2026-09-02,06:25,06:41,D,1,Победа,DP 6923,Махачкала,MCX
SVO,2026-09-02,06:30,06:37,B,117,Аэрофлот,SU 1242,Оренбург,REN
SVO,2026-09-02,06:50,07:07,D,3,Победа,DP 6961,Астрахань,ASF
SVO,2026-09-02,06:55,14:57,B,104,"Россия,Аэрофлот","FV 6491,SU 6491",Саратов,GSV
SVO,2026-09-02,06:55,07:17,B,104,Аэрофлот,SU 1026,Калининград,KGD
SVO,2026-09-02,07:00,07:02,B,102,Россия,FV 6223,Челябинск,CEK
SVO,2026-09-02,07:00,07:15,D,1,Победа,DP 6903,Магас,IGT
SVO,2026-09-02,07:05,10:57,C,135,Аэрофлот,SU 520,Дубай,DXB
SVO,2026-09-02,07:05,07:21,D,14,Победа,DP 6965,Волгоград,VOG
SVO,2026-09-02,07:10,07:28,B,111,Аэрофлот,SU 1152,Сочи,AER
SVO,2026-09-02,07:10,07:13,B,122,Аэрофлот,SU 1264,Краснодар,KRR
SVO,2026-09-02,07:10,12:20,D,17,Победа,DP 6863,Саратов,GSV
SVO,2026-09-02,07:15,07:24,B,105,Аэрофлот,SU 6,Санкт-Петербург,LED
SVO,2026-09-02,07:15,10:24,D,13,Победа,DP 6837,Калининград,KGD
SVO,2026-09-02,07:15,07:32,D,3,Победа,DP 6911,Минеральные Воды,MRV
SVO,2026-09-02,07:20,07:31,B,120,Аэрофлот,SU 1032,Калининград,KGD
SVO,2026-09-02,07:20,07:42,C,129,Аэрофлот,SU 2172,Стамбул,IST
SVO,2026-09-02,07:20,07:38,C,141,Аэрофлот,SU 426,Шарм-эль-Шейх,SSH
SVO,2026-09-02,07:25,07:35,B,108,Аэрофлот,SU 1180,Волгоград,VOG
SVO,2026-09-02,07:30,07:45,B,102,"Россия,Аэрофлот","FV 6811,SU 6811",Саранск,SKX
SVO,2026-09-02,07:30,08:12,B,103,Аэрофлот,SU 1444,Иркутск,IKT
SVO,2026-09-02,07:35,07:52,B,101,Аэрофлот,SU 1400,Екатеринбург,SVX
SVO,2026-09-02,07:35,10:01,B,115,"Россия,Аэрофлот","FV 6369,SU 6369",Ижевск,IJK
SVO,2026-09-02,07:35,08:29,D,1,Победа,DP 6905,Владикавказ,OGZ
SVO,2026-09-02,07:40,07:49,B,119,Аэрофлот,SU 1366,Ставрополь,STW
SVO,2026-09-02,07:40,07:57,C,126,Аэрофлот,SU 2142,Анталья,AYT
SVO,2026-09-02,07:40,07:55,C,127,Аэрофлот,SU 2120,Бодрум,BJV
SVO,2026-09-02,07:45,08:46,C,138,Air Cairo,SM 784,Хургада,HRG
SVO,2026-09-02,07:45,07:59,C,140,Royal Air Maroc,AT 221,Касабланка,CMN
SVO,2026-09-02,07:50,08:10,B,114,Аэрофлот,SU 1678,Астрахань,ASF
SVO,2026-09-02,07:50,08:04,B,121,Аэрофлот,SU 1052,Махачкала,MCX
SVO,2026-09-02,07:50,08:01,D,3,Победа,DP 6809,Киров,KVX
SVO,2026-09-02,07:55,08:07,B,118,Аэрофлот,SU 1176,Сочи,AER
SVO,2026-09-02,08:00,08:23,B,102,"Россия,Аэрофлот","FV 6127,SU 6127",Санкт-Петербург,LED
SVO,2026-09-02,08:00,08:15,B,109,Аэрофлот,SU 1014,Калининград,KGD
SVO,2026-09-02,08:00,10:10,D,14,Победа,DP 6841,Казань,KZN
SVO,2026-09-02,08:05,08:26,B,103,"Россия,Аэрофлот","FV 6405,SU 6405",Сыктывкар,SCW
SVO,2026-09-02,08:05,08:19,B,107,Аэрофлот,SU 1268,Казань,KZN
SVO,2026-09-02,08:05,09:43,D,1,Победа,DP 6851,Санкт-Петербург,LED
SVO,2026-09-02,08:10,11:52,B,102,"Россия,Аэрофлот","FV 6503,SU 6503",Архангельск,ARH
SVO,2026-09-02,08:10,08:35,C,143,Аэрофлот,SU 1860,Ереван,EVN
SVO,2026-09-02,08:15,11:04,B,101,Россия,FV 6309,Калининград,KGD
SVO,2026-09-02,08:20,09:36,B,110,Аэрофлот,SU 1042,Сочи,AER
SVO,2026-09-02,08:20,09:39,C,136,Аэрофлот,SU 422,Хургада,HRG
SVO,2026-09-02,08:25,09:41,B,101,"Россия,Аэрофлот","FV 6153,SU 6153",Самара,KUF
SVO,2026-09-02,08:30,09:46,B,106,Россия,SU 6399,Пермь,PEE
SVO,2026-09-02,08:30,09:59,B,117,Аэрофлот,SU 1504,Тюмень,TJM
SVO,2026-09-02,08:40,09:55,B,102,Аэрофлот,SU 1148,Геленджик,GDZ
SVO,2026-09-02,08:40,09:48,B,103,Аэрофлот,SU 1304,Минеральные Воды,MRV
SVO,2026-09-02,08:45,09:50,B,112,Аэрофлот,SU 1498,Грозный,GRV
SVO,2026-09-02,08:45,10:05,C,137,Аэрофлот,SU 2136,Стамбул,IST
SVO,2026-09-02,08:50,09:53,B,101,"Россия,Аэрофлот","FV 6415,SU 6415",Волгоград,VOG
SVO,2026-09-02,09:00,09:00,B,102,Россия,SU 6167,Санкт-Петербург,LED
SVO,2026-09-02,09:00,10:03,B,122,Аэрофлот,SU 1016,Калининград,KGD
SVO,2026-09-02,09:00,10:18,D,3,Победа,DP 6843,Казань,KZN
SVO,2026-09-02,09:10,10:20,C,141,Аэрофлот,SU 1830,Минск,MSQ
SVO,2026-09-02,09:10,09:59,D,1,Победа,DP 6821,Санкт-Петербург,LED
SVO,2026-09-02,09:15,10:07,B,113,Аэрофлот,SU 1320,Мурманск,MMK
SVO,2026-09-02,09:15,10:21,C,146,Аэрофлот,SU 2124,Анталья,AYT
SVO,2026-09-02,09:20,10:14,B,116,Аэрофлот,SU 1094,Челябинск,CEK
SVO,2026-09-02,09:20,10:16,B,120,Аэрофлот,SU 1230,Уфа,UFA
SVO,2026-09-02,09:20,10:48,C,145,Аэрофлот,SU 1886,Бишкек,BSZ
SVO,2026-09-02,09:25,16:54,B,106,Россия,FV 6549,Пенза,PEZ
SVO,2026-09-02,09:25,10:45,B,119,Аэрофлот,SU 1602,Самара,KUF
SVO,2026-09-02,09:25,10:28,B,123,Аэрофлот,SU 1044,Сочи,AER
SVO,2026-09-02,09:30,10:33,B,104,Северсталь,D2 152,Череповец,CEE
SVO,2026-09-02,09:30,10:12,B,114,Аэрофлот,SU 1416,Екатеринбург,SVX
SVO,2026-09-02,09:30,10:38,C,142,Аэрофлот,SU 1866,Ереван,EVN
SVO,2026-09-02,09:35,11:37,B,104,"Россия,Аэрофлот","FV 6229,SU 6229",Нижний Новгород,GOJ
SVO,2026-09-02,09:35,10:43,B,105,Аэрофлот,SU 1518,Горно-Алтайск,RGK
SVO,2026-09-02,09:35,09:43,C,130,Pyramids Airlines,5P 13,Monastir,MIR
SVO,2026-09-02,09:40,10:53,B,111,"Россия,Аэрофлот","FV 6385,SU 6385",Казань,KZN
SVO,2026-09-02,09:40,10:50,C,138,Аэрофлот,SU 1946,Алматы,ALA
SVO,2026-09-02,09:45,10:35,B,103,Аэрофлот,SU 10,Санкт-Петербург,LED
SVO,2026-09-02,09:45,10:26,C,144,Аэрофлот,SU 400,Каир,CAI
SVO,2026-09-02,09:50,10:41,B,102,Аэрофлот,SU 1486,Красноярск,KJA
SVO,2026-09-02,09:50,11:13,C,140,Белавиа,B2 976,Минск,MSQ
SVO,2026-09-02,10:00,12:28,B,103,Аэрофлот,SU 1002,Калининград,KGD
SVO,2026-09-02,10:05,12:09,B,101,Аэрофлот,SU 1460,Новосибирск,OVB
SVO,2026-09-02,10:05,11:31,B,106,"Россия,Аэрофлот","FV 6371,SU 6371",Самара,KUF
SVO,2026-09-02,10:20,12:54,B,107,Аэрофлот,SU 1208,Краснодар,KRR
SVO,2026-09-02,10:25,10:39,D,14,Smartavia,5N 251,Калининград,KGD
SVO,2026-09-02,10:30,10:56,B,102,"Россия,Аэрофлот","FV 6057,SU 6057",Санкт-Петербург,LED
SVO,2026-09-02,10:30,11:09,B,109,"Россия,Аэрофлот","FV 6313,SU 6313",Калининград,KGD
SVO,2026-09-02,10:30,10:59,C,130,Аэрофлот,SU 2126,Анталья,AYT
SVO,2026-09-02,10:35,12:11,B,116,Ямал,YC 190,Новый Уренгой,NUX
SVO,2026-09-02,10:35,13:01,C,131,Аэрофлот,SU 1854,Баку,GYD
SVO,2026-09-02,10:40,16:36,C,126,Аэрофлот,SU 2158,Анталья,AYT
SVO,2026-09-02,10:40,13:57,C,140,Air Serbia,JU 131,Белград,BEG
SVO,2026-09-02,10:45,11:07,C,136,Аэрофлот,SU 2130,Стамбул,IST
SVO,2026-09-02,11:00,12:17,B,106,Россия,SU 6059,Санкт-Петербург,LED
SVO,2026-09-02,11:00,12:34,C,141,Аэрофлот,SU 2122,Даламан,DLM
SVO,2026-09-02,11:10,11:29,B,104,"Россия,Аэрофлот","FV 6433,SU 6433",Пермь,PEE
SVO,2026-09-02,11:10,11:22,C,130,Аэрофлот,SU 420,Хургада,HRG
SVO,2026-09-02,11:10,11:26,D,1,Победа,DP 6947,Сочи,AER
SVO,2026-09-02,11:15,12:52,D,3,Победа,DP 6913,Минеральные Воды,MRV
SVO,2026-09-02,11:20,11:34,B,103,Аэрофлот,SU 1572,Элиста,ESL
SVO,2026-09-02,11:20,14:14,B,104,Россия,FV 6197,Казань,KZN
SVO,2026-09-02,11:20,11:02,D,1,Победа,DP 6927,Махачкала,MCX
SVO,2026-09-02,11:25,11:54,C,125,"Etihad Airways,Garuda Indonesia","EY 842,GA 9131",Абу-Даби,AUH
SVO,2026-09-02,11:30,15:10,B,103,Россия,FV 6477,Мурманск,MMK
SVO,2026-09-02,11:35,13:18,C,135,Аэрофлот,SU 1828,Гянджа,GNJ
SVO,2026-09-02,11:35,12:14,C,145,Аэрофлот,SU 2146,Анталья,AYT
SVO,2026-09-02,11:50,12:05,B,111,Аэрофлот,SU 1018,Калининград,KGD
SVO,2026-09-02,11:50,12:01,B,121,Аэрофлот,SU 1490,Красноярск,KJA
SVO,2026-09-02,11:55,17:26,B,106,"Россия,Аэрофлот","FV 6173,SU 6173",Оренбург,REN
SVO,2026-09-02,11:55,15:46,C,131,Аэрофлот,SU 1962,Астана,NQZ
SVO,2026-09-02,11:55,12:38,D,1,Победа,DP 6823,Санкт-Петербург,LED
SVO,2026-09-02,12:00,14:07,B,112,Аэрофлот,SU 1412,Екатеринбург,SVX
SVO,2026-09-02,12:00,12:24,B,113,Аэрофлот,SU 1156,Краснодар,KRR
SVO,2026-09-02,12:05,12:47,B,118,Ямал,YC 132,Салехард,SLY
SVO,2026-09-02,12:05,15:08,D,3,Победа,DP 6919,Ставрополь,STW
SVO,2026-09-02,12:10,13:26,B,108,Аэрофлот,SU 1028,Минеральные Воды,MRV
SVO,2026-09-02,12:10,13:53,D,13,Победа,DP 6845,Нижнекамск,NBC
SVO,2026-09-02,12:15,12:44,B,104,Россия,FV 6535,Уфа,UFA
SVO,2026-09-02,12:15,15:59,C,134,Аэрофлот,SU 1842,Минск,MSQ
SVO,2026-09-02,12:15,13:12,C,146,Аэрофлот,SU 2160,Анталья,AYT
SVO,2026-09-02,12:20,13:48,B,101,Россия,SU 6243,Санкт-Петербург,LED
SVO,2026-09-02,12:20,12:57,C,144,Аэрофлот,SU 430,Шарм-эль-Шейх,SSH
SVO,2026-09-02,12:25,13:08,B,119,Россия,FV 6193,Челябинск,CEK
SVO,2026-09-02,12:25,12:41,B,123,Аэрофлот,SU 1346,Апатиты,KVK
SVO,2026-09-02,12:45,13:05,C,131,Аэрофлот,SU 2156,Анталья,AYT
SVO,2026-09-02,12:45,13:32,C,138,Аэрофлот,SU 224,Санья,SYX
SVO,2026-09-02,12:50,13:22,B,115,Аэрофлот,SU 1136,Сочи,AER
SVO,2026-09-02,12:55,13:15,C,142,Southwind Airlines,2S 142,Анталья,AYT
SVO,2026-09-02,13:00,15:13,B,101,Россия,SU 6271,Санкт-Петербург,LED
SVO,2026-09-02,13:00,19:26,C,140,Gulf Air,GF 13,Манама,BAH
SVO,2026-09-02,13:10,17:24,D,1,Победа,DP 6861,Саратов,GSV
SVO,2026-09-02,13:15,13:29,B,114,Аэрофлот,SU 1266,Краснодар,KRR
SVO,2026-09-02,13:15,13:35,C,137,Southwind Airlines,2S 2,Анталья,AYT
SVO,2026-09-02,13:20,16:24,D,3,Победа,DP 6901,Нальчик,NAL
SVO,2026-09-02,13:25,15:02,B,106,Россия,FV 6507,Пермь,PEE
SVO,2026-09-02,13:25,13:38,B,122,Аэрофлот,SU 1310,Минеральные Воды,MRV
SVO,2026-09-02,13:30,14:18,B,111,Nordwind,N4 105,Калининград,KGD
SVO,2026-09-02,13:30,13:43,B,117,Аэрофлот,SU 1082,Геленджик,GDZ
SVO,2026-09-02,13:35,14:33,B,120,Аэрофлот,SU 1004,Калининград,KGD
SVO,2026-09-02,13:35,16:01,D,3,Победа,DP 6835,Калининград,KGD
SVO,2026-09-02,13:40,14:02,B,116,Северсталь,D2 333,Ухта,UCT
SVO,2026-09-02,13:40,15:15,B,117,Аэрофлот,SU 1212,Самара,KUF
SVO,2026-09-02,13:40,14:24,C,133,Аэрофлот,SU 2144,Анталья,AYT
SVO,2026-09-02,13:45,14:10,C,144,Белавиа,B2 918,Брест,BQT
SVO,2026-09-02,13:50,16:12,B,104,"Россия,Аэрофлот","FV 6063,SU 6063",Саратов,GSV
SVO,2026-09-02,13:50,15:21,D,1,Победа,DP 6583,Самара,KUF
SVO,2026-09-02,13:55,15:57,C,143,Аэрофлот,SU 2168,Даламан,DLM
SVO,2026-09-02,14:00,14:59,B,102,"Россия,Аэрофлот","FV 6855,SU 6855",Санкт-Петербург,LED
SVO,2026-09-02,14:00,14:41,B,115,Аэрофлот,SU 1296,Ижевск,IJK
SVO,2026-09-02,14:05,16:43,D,3,Победа,DP 5921,Махачкала,MCX
SVO,2026-09-02,14:15,14:46,B,108,Аэрофлот,SU 1024,Калининград,KGD
SVO,2026-09-02,14:15,14:29,B,119,"Россия,Аэрофлот","FV 6211,SU 6211",Екатеринбург,SVX
SVO,2026-09-02,14:20,14:36,B,107,Аэрофлот,SU 1122,Сочи,AER
SVO,2026-09-02,14:25,14:51,C,129,Hainan Airlines,HU 766,Хайкоу,HAK
SVO,2026-09-02,14:30,23:21,B,107,"Россия,Аэрофлот","FV 6145,SU 6145",Уфа,UFA
SVO,2026-09-02,14:35,15:41,C,135,Аэрофлот,SU 1856,Баку,GYD
SVO,2026-09-02,14:40,21:01,B,104,"Россия,Аэрофлот","FV 6249,SU 6249",Нижнекамск,NBC
SVO,2026-09-02,14:45,17:08,B,104,"Россия,Аэрофлот","FV 6337,SU 6337",Архангельск,ARH
SVO,2026-09-02,14:45,16:32,B,112,Аэрофлот,SU 1226,Нижний Новгород,GOJ
SVO,2026-09-02,14:45,17:51,B,114,"Россия,Аэрофлот","FV 6227,SU 6227",Самара,KUF
SVO,2026-09-02,14:50,15:52,B,111,Аэрофлот,SU 1040,Сочи,AER
SVO,2026-09-02,14:50,19:16,D,1,Победа,DP 6831,Калининград,KGD
SVO,2026-09-02,14:55,17:12,B,101,"Россия,Аэрофлот","FV 6425,SU 6425",Волгоград,VOG
SVO,2026-09-02,15:00,15:18,B,101,"Россия,Аэрофлот","FV 6481,SU 6481",Санкт-Петербург,LED
SVO,2026-09-02,15:00,15:49,C,130,Аэрофлот,SU 1836,Минск,MSQ
SVO,2026-09-02,15:05,15:34,C,140,Southwind Airlines,2S 86,Стамбул,IST
SVO,2026-09-02,15:10,15:23,B,118,Аэрофлот,SU 1324,Мурманск,MMK
SVO,2026-09-02,15:10,15:26,B,121,Аэрофлот,SU 1364,Ставрополь,STW
SVO,2026-09-02,15:10,15:31,C,125,Аэрофлот,SU 1862,Ереван,EVN
SVO,2026-09-02,15:15,16:03,B,102,Аэрофлот,SU 1768,Пермь,PEE
SVO,2026-09-02,15:20,16:34,B,104,"Россия,Аэрофлот","FV 6361,SU 6361",Казань,KZN
SVO,2026-09-02,15:40,16:07,B,106,Аэрофлот,SU 1700,Владивосток,VVO
SVO,2026-09-02,15:40,16:19,B,113,Россия,ФВ 6717,Сочи,AER
SVO,2026-09-02,15:45,16:40,B,103,Аэрофлот,SU 1300,Минеральные Воды,MRV
SVO,2026-09-02,15:50,16:52,B,101,Аэрофлот,SU 1258,Уфа,UFA
SVO,2026-09-02,15:50,16:15,B,119,Аэрофлот,SU 1496,Грозный,GRV
