airport,flight_date,scheduled_time,actual_time,terminal,gate,airlines,flight_numbers,destination,destination_iata
SVO,2026-09-13,00:05,00:10,B,102,"Rossiya,Aeroflot","FV 6539,SU 6539",Ufa,UFA
SVO,2026-09-13,00:05,00:05,B,103,Aeroflot,SU 1424,Ufa,UFA
SVO,2026-09-13,00:05,01:00,B,115,Aeroflot,SU 1484,Krasnoyarsk,KJA
SVO,2026-09-13,00:05,00:01,C,140,Aeroflot,SU 1942,Almaty,ALA
SVO,2026-09-13,00:10,00:07,B,110,Aeroflot,SU 1524,Gorno-Altaysk,RGK
SVO,2026-09-13,00:10,00:08,C,127,Aeroflot,SU 2162,Antalya,AYT
SVO,2026-09-13,00:15,00:09,C,138,Southwind,2S 136,Antalya,AYT
SVO,2026-09-13,00:20,00:21,B,104,"Pegas Fly,Nordwind","EO 103,N4 103",Kaliningrad,KGD
SVO,2026-09-13,00:20,00:19,C,130,Aeroflot,SU 1834,Minsk,MSQ
SVO,2026-09-13,00:25,00:22,C,143,Aeroflot,SU 2128,Antalya,AYT
SVO,2026-09-13,00:25,08:50,D,17,Pobeda,DP 6503,Ufa,UFA
SVO,2026-09-13,00:25,00:43,D,3,Pobeda,DP 6511,Perm,PEE
SVO,2026-09-13,00:30,00:28,B,101,"Rossiya,Aeroflot","FV 6951,SU 6951",Saint-Petersburg,LED
SVO,2026-09-13,00:30,00:36,B,108,Aeroflot,SU 1092,Chelyabinsk,CEK
SVO,2026-09-13,00:30,00:29,B,114,Aeroflot,SU 1736,Petropavlovsk-Kamchatskiy,PKC
SVO,2026-09-13,00:35,00:39,B,117,Aeroflot,SU 1568,Tyumen,TJM
SVO,2026-09-13,00:35,00:44,B,120,Aeroflot,SU 1244,Ekaterinburg,SVX
SVO,2026-09-13,00:40,00:36,B,103,Aeroflot,SU 1430,Barnaul,BAX
SVO,2026-09-13,00:40,00:38,B,121,Aeroflot,SU 1638,Omsk,OMS
SVO,2026-09-13,00:40,00:40,B,123,Aeroflot,SU 1456,Kemerovo,KEJ
SVO,2026-09-13,00:45,00:38,B,109,Aeroflot,SU 1428,Magnitogorsk,MQF
SVO,2026-09-13,00:55,01:19,B,111,Aeroflot,SU 1482,Krasnoyarsk,KJA
SVO,2026-09-13,01:00,00:57,B,107,Aeroflot,SU 1382,Khanty-Mansiysk,HMA
SVO,2026-09-13,01:05,00:58,B,106,Aeroflot,SU 1306,Novosibirsk,OVB
SVO,2026-09-13,01:05,01:11,C,131,Aeroflot,SU 1894,Osh,OSS
SVO,2026-09-13,01:05,01:10,C,135,Aeroflot,SU 2170,Istanbul,IST
SVO,2026-09-13,01:10,01:03,C,125,Southwind,2S 12,Antalya,AYT
SVO,2026-09-13,01:10,01:09,C,134,Aeroflot,SU 2164,Antalya,AYT
SVO,2026-09-13,01:15,01:15,C,126,Aeroflot,SU 1966,Yerevan,EVN
SVO,2026-09-13,01:15,01:15,C,133,Aeroflot,SU 2118,Bodrum,BJV
SVO,2026-09-13,01:20,01:18,B,104,Aeroflot,SU 1708,Vladivostok,VVO
SVO,2026-09-13,01:25,01:21,C,144,Aeroflot,SU 424,Hurghada,HRG
SVO,2026-09-13,01:30,01:30,B,101,"Rossiya,Aeroflot","FV 6907,SU 6907",Chelyabinsk,CEK
SVO,2026-09-13,01:30,03:50,B,102,Aeroflot,SU 1562,Irkutsk,IKT
SVO,2026-09-13,01:30,01:23,C,141,Aeroflot,SU 462,Hurghada,HRG
SVO,2026-09-13,01:40,01:40,B,105,Aeroflot,SU 1512,Surgut,SGC
SVO,2026-09-13,01:50,01:43,C,145,Aeroflot,SU 1936,Qaraghandy,KGF
SVO,2026-09-13,01:55,02:31,B,110,Aeroflot,SU 1582,Gorno-Altaysk,RGK
SVO,2026-09-13,02:10,03:08,B,109,Aeroflot,SU 1054,Makhachkala,MCX
SVO,2026-09-13,02:15,02:09,C,137,Aeroflot,SU 2148,Antalya,AYT
SVO,2026-09-13,02:20,05:22,B,106,Aeroflot,SU 1466,Ekaterinburg,SVX
SVO,2026-09-13,02:20,02:12,B,122,Aeroflot,SU 1172,Astrakhan,ASF
SVO,2026-09-13,02:25,05:08,B,117,Aeroflot,SU 1074,Sochi,AER
SVO,2026-09-13,02:55,02:48,B,103,"Rossiya,Aeroflot","FV 6591,SU 6591",Perm,PEE
SVO,2026-09-13,02:55,02:57,C,141,Air Serbia,JU 137,Belgrade,BEG
SVO,2026-09-13,03:35,07:53,C,130,"Rossiya,Aeroflot","FV 6521,SU 6521",Kostanay,KSN
SVO,2026-09-13,03:45,05:26,C,145,Corendon Air,XC 9305,Antalya,AYT
SVO,2026-09-13,04:20,04:16,C,128,Aeroflot,SU 434,Hurghada,HRG
SVO,2026-09-13,04:20,05:51,C,140,Air Cairo,SM 948,El Alamein,DBB
SVO,2026-09-13,04:50,07:07,C,143,"Aeroflot,Rossiya","SU 6953,FV 6953",Antalya,AYT
SVO,2026-09-13,04:55,05:45,B,119,Aeroflot,SU 1110,Sochi,AER
SVO,2026-09-13,04:55,04:51,C,136,Aeroflot,SU 524,Dubai,DXB
SVO,2026-09-13,05:55,09:48,B,122,Aeroflot,SU 1270,Kazan,KZN
SVO,2026-09-13,06:00,08:59,B,104,"Rossiya,Aeroflot","FV 6299,SU 6299",Nizhnekamsk,NBC
SVO,2026-09-13,06:10,06:10,B,110,Aeroflot,SU 1256,Krasnodar,KRR
SVO,2026-09-13,06:10,06:00,B,120,Aeroflot,SU 1318,Murmansk,MMK
SVO,2026-09-13,06:25,06:22,B,121,Aeroflot,SU 1000,Kaliningrad,KGD
SVO,2026-09-13,06:25,09:19,D,15,Pobeda,DP 6923,Makhachkala,MCX
SVO,2026-09-13,06:30,09:31,B,113,Aeroflot,SU 1242,Orenburg,REN
SVO,2026-09-13,06:35,06:48,B,109,Aeroflot,SU 6,Saint-Petersburg,LED
SVO,2026-09-13,06:40,10:56,C,141,AlMasria,UJ 614,Sharm el Sheikh,SSH
SVO,2026-09-13,06:50,07:30,C,140,Air Cairo,SM 942,Hurghada,HRG
SVO,2026-09-13,06:50,07:41,D,3,Pobeda,DP 6961,Astrakhan,ASF
SVO,2026-09-13,06:55,06:50,B,103,"Rossiya,Aeroflot","FV 6491,SU 6491",Saratov,GSV
SVO,2026-09-13,06:55,06:48,B,105,Aeroflot,SU 1026,Kaliningrad,KGD
SVO,2026-09-13,07:00,08:59,B,102,"Rossiya,Aeroflot","FV 6075,SU 6075",Ulyanovsk,ULV
SVO,2026-09-13,07:00,06:55,B,118,Aeroflot,SU 1534,Chelyabinsk,CEK
SVO,2026-09-13,07:05,08:03,B,107,Aeroflot,SU 1108,Krasnodar,KRR
SVO,2026-09-13,07:05,07:10,C,131,Aeroflot,SU 520,Dubai,DXB
SVO,2026-09-13,07:05,08:21,D,1,Pobeda,DP 6965,Volgograd,VOG
SVO,2026-09-13,07:10,07:10,B,115,Aeroflot,SU 1152,Sochi,AER
SVO,2026-09-13,07:10,07:04,B,123,Aeroflot,SU 1264,Krasnodar,KRR
SVO,2026-09-13,07:10,11:59,D,1,Pobeda,DP 6863,Saratov,GSV
SVO,2026-09-13,07:15,08:52,D,1,Pobeda,DP 6837,Kaliningrad,KGD
SVO,2026-09-13,07:20,07:41,C,126,Aeroflot,SU 426,Sharm el Sheikh,SSH
SVO,2026-09-13,07:20,07:35,C,128,Aeroflot,SU 2172,Istanbul,IST
SVO,2026-09-13,07:25,07:34,B,101,"Rossiya,Aeroflot","FV 6425,SU 6425",Astrakhan,ASF
SVO,2026-09-13,07:25,07:12,B,119,Aeroflot,SU 1032,Kaliningrad,KGD
SVO,2026-09-13,07:25,10:43,D,3,Pobeda,DP 5921,Makhachkala,MCX
SVO,2026-09-13,07:30,07:28,B,102,"Rossiya,Aeroflot","FV 6811,SU 6811",Saransk,SKX
SVO,2026-09-13,07:30,10:12,D,13,Pobeda,DP 6911,Mineralnyye Vody,MRV
SVO,2026-09-13,07:35,07:40,B,104,"Rossiya,Aeroflot","FV 6405,SU 6405",Syktyvkar,SCW
SVO,2026-09-13,07:35,15:56,B,123,"Rossiya,Aeroflot","FV 6369,SU 6369",Izhevsk,IJK
SVO,2026-09-13,07:35,09:43,D,1,Pobeda,DP 6583,Samara,KUF
SVO,2026-09-13,07:40,07:36,B,111,Aeroflot,SU 1348,Mineralnyye Vody,MRV
SVO,2026-09-13,07:40,07:36,B,114,Aeroflot,SU 1366,Stavropol,STW
SVO,2026-09-13,07:40,07:39,C,139,Aeroflot,SU 2142,Antalya,AYT
SVO,2026-09-13,07:45,07:37,B,106,Aeroflot,SU 1400,Ekaterinburg,SVX
SVO,2026-09-13,07:45,07:38,C,144,Aeroflot,SU 2120,Bodrum,BJV
SVO,2026-09-13,07:45,07:47,C,145,Royal Air Maroc,AT 221,Casablanca,CMN
SVO,2026-09-13,07:50,07:48,B,108,Aeroflot,SU 1678,Astrakhan,ASF
SVO,2026-09-13,07:50,10:46,B,119,Aeroflot,SU 1052,Makhachkala,MCX
SVO,2026-09-13,07:55,09:12,B,110,Aeroflot,SU 1176,Sochi,AER
SVO,2026-09-13,07:55,08:57,D,13,Pobeda,DP 6905,Vladikavkaz,OGZ
SVO,2026-09-13,08:00,07:58,B,101,"Rossiya,Aeroflot","FV 6127,SU 6127",Saint-Petersburg,LED
SVO,2026-09-13,08:00,07:56,B,116,Aeroflot,SU 1014,Kaliningrad,KGD
SVO,2026-09-13,08:00,13:14,D,1,Pobeda,DP 6841,Kazan,KZN
SVO,2026-09-13,08:05,08:05,C,138,Aeroflot,SU 1860,Yerevan,EVN
SVO,2026-09-13,08:05,10:03,D,17,Pobeda,DP 6851,Saint-Petersburg,LED
SVO,2026-09-13,08:10,08:10,B,103,"Rossiya,Aeroflot","FV 6503,SU 6503",Arkhangelsk,ARH
SVO,2026-09-13,08:15,10:15,B,102,"Rossiya,Aeroflot","FV 6137,SU 6137",Kazan,KZN
SVO,2026-09-13,08:15,08:15,B,104,Aeroflot,SU 1268,Kazan,KZN
SVO,2026-09-13,08:15,08:15,B,117,"Rossiya,Aeroflot","FV 6309,SU 6309",Kaliningrad,KGD
SVO,2026-09-13,08:20,08:20,B,102,Aeroflot,SU 1042,Sochi,AER
SVO,2026-09-13,08:25,08:18,B,101,"Rossiya,Aeroflot","FV 6153,SU 1210,SU 6153",Samara,KUF
SVO,2026-09-13,08:30,08:30,B,103,Aeroflot,SU 1200,Perm,PEE
SVO,2026-09-13,08:30,08:27,B,104,"Rossiya,Aeroflot","FV 6399,SU 6399",Perm,PEE
SVO,2026-09-13,08:30,10:04,B,108,Aeroflot,SU 1504,Tyumen,TJM
SVO,2026-09-13,08:40,08:37,B,120,Aeroflot,SU 1148,Gelendzhik,GDZ
SVO,2026-09-13,08:40,08:31,B,121,Aeroflot,SU 1304,Mineralnyye Vody,MRV
SVO,2026-09-13,08:40,10:00,C,128,"Rossiya,Aeroflot","FV 5955,SU 5955",Sharm el Sheikh,SSH
SVO,2026-09-13,08:45,08:58,B,119,Aeroflot,SU 1498,Grozny,GRV
SVO,2026-09-13,08:45,08:39,C,134,Aeroflot,SU 2136,Istanbul,IST
SVO,2026-09-13,08:50,08:47,B,103,"Rossiya,Aeroflot","FV 6415,SU 6415",Volgograd,VOG
SVO,2026-09-13,09:00,09:00,B,101,"Rossiya,Aeroflot","FV 6167,SU 6167",Saint-Petersburg,LED
SVO,2026-09-13,09:00,08:53,B,123,Aeroflot,SU 1016,Saint-Petersburg,LED
SVO,2026-09-13,09:00,09:07,C,132,Syrian Air,RB 442,Damascus,DAM
SVO,2026-09-13,09:10,09:10,C,135,Aeroflot,SU 1830,Minsk,MSQ
SVO,2026-09-13,09:10,09:01,D,14,Smartavia,5N 217,Arkhangelsk,ARH
SVO,2026-09-13,09:15,09:12,B,105,Aeroflot,SU 1320,Murmansk,MMK
SVO,2026-09-13,09:15,09:12,C,146,Aeroflot,SU 2124,Antalya,AYT
SVO,2026-09-13,09:20,09:20,B,101,Aeroflot,SU 1230,Ufa,UFA
SVO,2026-09-13,09:20,09:14,B,103,"Rossiya,Aeroflot","FV 6537,SU 6537",Ufa,UFA
SVO,2026-09-13,09:20,09:28,C,143,Aeroflot,SU 1886,Bishkek,BSZ
SVO,2026-09-13,09:20,11:06,D,3,Pobeda,DP 6927,Makhachkala,MCX
SVO,2026-09-13,09:25,11:23,B,102,"Rossiya,Aeroflot","FV 6549,SU 6549,SU 1544",Penza,PEZ
SVO,2026-09-13,09:25,09:25,B,115,Aeroflot,SU 1044,Sochi,AER
SVO,2026-09-13,09:25,12:07,B,123,Aeroflot,SU 1602,Samara,KUF
SVO,2026-09-13,09:30,09:52,B,117,Aeroflot,SU 1416,Ekaterinburg,SVX
SVO,2026-09-13,09:30,10:51,C,126,Aeroflot,SU 1866,Yerevan,EVN
SVO,2026-09-13,09:30,09:44,C,131,Pyramids Airlines,5P 13,Monastir,MIR
SVO,2026-09-13,09:35,09:29,B,104,Severstal Aircompany,D2 152,Cherepovets,CEE
SVO,2026-09-13,09:35,10:22,B,107,Aeroflot,SU 1518,Gorno-Altaysk,RGK
SVO,2026-09-13,09:35,09:27,B,111,"Rossiya,Aeroflot","FV 6229,SU 6229",Nizhniy Novgorod,GOJ
SVO,2026-09-13,09:40,09:37,B,101,"Rossiya,Aeroflot","FV 6385,SU 6385",Kazan,KZN
SVO,2026-09-13,09:40,09:40,C,127,Aeroflot,SU 1946,Almaty,ALA
SVO,2026-09-13,09:45,09:37,B,112,Aeroflot,SU 1688,Omsk,OMS
SVO,2026-09-13,09:45,09:59,B,120,Aeroflot,SU 10,Saint-Petersburg,LED
SVO,2026-09-13,09:45,09:43,C,129,Aeroflot,SU 400,Cairo,CAI
SVO,2026-09-13,09:50,09:40,B,109,Aeroflot,SU 1486,Krasnoyarsk,KJA
SVO,2026-09-13,09:50,09:44,B,118,Aeroflot,SU 1138,Sochi,AER
SVO,2026-09-13,09:50,09:44,C,144,Belavia,B2 976,Minsk,MSQ
SVO,2026-09-13,10:00,12:11,B,113,Aeroflot,SU 1002,Kaliningrad,KGD
SVO,2026-09-13,10:05,11:55,B,109,Aeroflot,SU 1188,Volgograd,VOG
SVO,2026-09-13,10:05,10:22,B,114,Aeroflot,SU 1460,Novosibirsk,OVB
SVO,2026-09-13,10:15,10:21,B,103,"Rossiya,Aeroflot","FV 6381,SU 6381",Izhevsk,IJK
SVO,2026-09-13,10:20,10:19,B,116,Aeroflot,SU 1208,Krasnodar,KRR
SVO,2026-09-13,10:25,10:20,B,121,Aeroflot,SU 1312,Mineralnyye Vody,MRV
SVO,2026-09-13,10:25,10:33,D,1,Pobeda,DP 6821,Saint-Petersburg,LED
SVO,2026-09-13,10:30,10:27,B,123,"Rossiya,Aeroflot","FV 6313,SU 6313",Kaliningrad,KGD
SVO,2026-09-13,10:30,12:35,C,137,Aeroflot,SU 2126,Antalya,AYT
SVO,2026-09-13,10:35,10:56,B,115,Yamal,YC 190,Novyy Urengoy,NUX
SVO,2026-09-13,10:35,10:34,C,130,Aeroflot,SU 1854,Baku,GYD
SVO,2026-09-13,10:40,13:37,B,122,Aeroflot,SU 1060,Orsk,OSW
SVO,2026-09-13,10:40,10:40,C,143,Air Serbia,JU 131,Belgrade,BEG
SVO,2026-09-13,10:45,10:43,C,134,Aeroflot,SU 2130,Istanbul,IST
SVO,2026-09-13,10:45,10:54,C,135,Gulf Air,GF 13,Manama,BAH
SVO,2026-09-13,10:45,13:47,D,16,Pobeda,DP 6903,Magas,IGT
SVO,2026-09-13,10:55,10:55,B,103,Aeroflot,SU 1058,Makhachkala,MCX
SVO,2026-09-13,10:55,13:09,B,109,"Rossiya,Aeroflot","FV 6071,SU 6071",Makhachkala,MCX
SVO,2026-09-13,11:00,10:56,B,101,"Rossiya,Aeroflot","FV 6059,SU 6059",Saint-Petersburg,LED
