airport,flight_date,scheduled_time,actual_time,terminal,gate,airlines,flight_numbers,destination,destination_iata
SVO,2026-06-30,00:05,00:11,B,104,Aeroflot,SU 1484,Krasnoyarsk,KJA
SVO,2026-06-30,00:05,00:01,C,140,Aeroflot,SU 1942,Almaty,ALA
SVO,2026-06-30,00:10,00:10,B,101,Aeroflot,SU 1524,Gorno-Altaysk,RGK
SVO,2026-06-30,00:10,00:04,C,145,Aeroflot,SU 2162,Antalya,AYT
SVO,2026-06-30,00:15,00:14,B,118,Aeroflot,SU 1478,Abakan,ABA
SVO,2026-06-30,00:20,00:15,C,137,Aeroflot,SU 1834,Minsk,MSQ
SVO,2026-06-30,00:20,00:26,D,1,Pobeda,DP 6541,Ekaterinburg,SVX
SVO,2026-06-30,00:25,00:23,C,130,Aeroflot,SU 2128,Antalya,AYT
SVO,2026-06-30,00:25,01:12,D,1,Pobeda,DP 6511,Perm,PEE
SVO,2026-06-30,00:30,01:00,B,,IrAero,IO 476,Moscow,DME
SVO,2026-06-30,00:30,00:23,B,112,Aeroflot,SU 1092,Chelyabinsk,CEK
SVO,2026-06-30,00:35,00:30,B,117,Aeroflot,SU 1568,Tyumen,TJM
SVO,2026-06-30,00:35,00:33,B,122,Aeroflot,SU 1244,Orenburg,REN
SVO,2026-06-30,00:40,00:39,B,115,Aeroflot,SU 1638,Omsk,OMS
SVO,2026-06-30,00:40,00:40,B,116,Aeroflot,SU 1430,Barnaul,BAX
SVO,2026-06-30,00:45,00:35,B,123,Aeroflot,SU 1428,Magnitogorsk,MQF
SVO,2026-06-30,00:45,01:38,D,3,Pobeda,DP 6569,Chelyabinsk,CEK
SVO,2026-06-30,00:55,01:13,B,103,Aeroflot,SU 1482,Krasnoyarsk,KJA
SVO,2026-06-30,01:00,00:56,B,101,"Rossiya,Aeroflot","FV 6699,SU 6699",Saint-Petersburg,LED
SVO,2026-06-30,01:00,00:54,B,119,Aeroflot,SU 1382,Khanty-Mansiysk,HMA
SVO,2026-06-30,01:00,00:58,C,131,Aeroflot,SU 2170,Istanbul,IST
SVO,2026-06-30,01:05,01:01,B,110,Aeroflot,SU 1306,Novosibirsk,OVB
SVO,2026-06-30,01:05,01:27,C,139,Ariana Afghan,FG 708,Kabul,KBL
SVO,2026-06-30,01:10,01:21,C,129,Air Stork,2S 12,Antalya,AYT
SVO,2026-06-30,01:15,01:10,C,124,Aeroflot,SU 2164,Antalya,AYT
SVO,2026-06-30,01:15,01:13,C,138,Aeroflot,SU 1966,Yerevan,EVN
SVO,2026-06-30,01:20,01:19,B,104,Aeroflot,SU 1708,Vladivostok,VVO
