airport,flight_date,scheduled_time,actual_time,terminal,gate,airlines,flight_numbers,destination,destination_iata
SVO,2026-08-30,00:05,01:18,B,106,Aeroflot,SU 1424,Ufa,UFA
SVO,2026-08-30,00:05,01:11,B,123,Aeroflot,SU 1484,Krasnoyarsk,KJA
SVO,2026-08-30,00:05,00:00,C,141,Aeroflot,SU 1942,Almaty,ALA
SVO,2026-08-30,00:10,00:10,B,103,Aeroflot,SU 1524,Gorno-Altaysk,RGK
SVO,2026-08-30,00:10,00:09,C,126,Aeroflot,SU 2162,Antalya,AYT
SVO,2026-08-30,00:15,00:08,C,124,Aeroflot,SU 2128,Antalya,AYT
SVO,2026-08-30,00:15,09:42,C,134,Aeroflot,SU 1834,Minsk,MSQ
SVO,2026-08-30,00:15,03:58,C,136,AlMasria,UJ 612,Sharm el Sheikh,SSH
SVO,2026-08-30,00:20,00:25,B,113,"Pegas Fly,Nordwind","EO 103,N4 103",Kaliningrad,KGD
SVO,2026-08-30,00:20,01:07,D,13,Pobeda,DP 6569,Chelyabinsk,CEK
SVO,2026-08-30,00:25,00:42,C,134,Southwind,2S 136,Antalya,AYT
SVO,2026-08-30,00:25,01:37,D,3,Pobeda,DP 6511,Perm,PEE
SVO,2026-08-30,00:30,00:38,B,101,Aeroflot,SU 1736,Petropavlovsk-Kamchatskiy,PKC
SVO,2026-08-30,00:30,00:27,B,102,"Rossiya,Aeroflot","FV 6951,SU 6951",Saint-Petersburg,LED
SVO,2026-08-30,00:30,02:08,B,105,Aeroflot,SU 1092,Chelyabinsk,CEK
SVO,2026-08-30,00:35,01:12,B,114,Aeroflot,SU 1244,Orenburg,REN
SVO,2026-08-30,00:35,02:30,B,117,Aeroflot,SU 1568,Tyumen,TJM
SVO,2026-08-30,00:40,00:48,B,104,Aeroflot,SU 1638,Omsk,OMS
SVO,2026-08-30,00:40,00:34,B,121,Aeroflot,SU 1430,Barnaul,BAX
SVO,2026-08-30,00:45,02:44,B,109,Aeroflot,SU 1428,Magnitogorsk,MQF
SVO,2026-08-30,00:50,00:50,D,1,Pobeda,DP 6929,Makhachkala,MCX
