airport,flight_date,scheduled_time,actual_time,terminal,gate,airlines,flight_numbers,destination,destination_iata
SVO,2026-08-01,00:05,00:05,B,103,Aeroflot,SU 1484,Krasnoyarsk,KJA
SVO,2026-08-01,00:05,00:00,B,108,Aeroflot,SU 1424,Ufa,UFA
SVO,2026-08-01,00:05,00:05,C,141,Aeroflot,SU 1942,Almaty,ALA
SVO,2026-08-01,00:10,02:27,B,104,Aeroflot,SU 1524,Gorno-Altaysk,RGK
SVO,2026-08-01,00:10,00:06,C,124,Aeroflot,SU 2162,Antalya,AYT
SVO,2026-08-01,00:10,04:13,D,3,Pobeda,DP 6595,Novosibirsk,OVB
SVO,2026-08-01,00:15,00:15,B,102,Aeroflot,SU 1478,Abakan,ABA
SVO,2026-08-01,00:15,00:33,C,126,Southwind,2S 136,Antalya,AYT
SVO,2026-08-01,00:20,00:45,C,132,"Rossiya,Aeroflot","FV 5953,SU 5953",Hurghada,HRG
SVO,2026-08-01,00:20,03:57,C,143,Aeroflot,SU 1834,Minsk,MSQ
SVO,2026-08-01,00:20,03:32,D,13,Pobeda,DP 6569,Chelyabinsk,CEK
SVO,2026-08-01,00:25,00:21,C,133,Aeroflot,SU 2128,Antalya,AYT
SVO,2026-08-01,00:25,00:25,D,1,Pobeda,DP 6949,Sochi,AER
SVO,2026-08-01,00:30,00:42,B,109,Aeroflot,SU 1092,Chelyabinsk,CEK
SVO,2026-08-01,00:30,01:21,B,114,Aeroflot,SU 1736,Petropavlovsk-Kamchatskiy,PKC
SVO,2026-08-01,00:35,00:34,B,104,Aeroflot,SU 1568,Tyumen,TJM
SVO,2026-08-01,00:35,00:30,B,113,Aeroflot,SU 1244,Orenburg,REN
SVO,2026-08-01,00:40,00:35,B,103,Aeroflot,SU 1638,Omsk,OMS
SVO,2026-08-01,00:40,02:46,B,120,Aeroflot,SU 1430,Barnaul,BAX
SVO,2026-08-01,00:45,00:52,B,101,"Rossiya,Aeroflot","FV 6291,SU 6291",Magadan,GDX
SVO,2026-08-01,00:45,00:44,B,123,Aeroflot,SU 1428,Magnitogorsk,MQF
SVO,2026-08-01,00:50,04:35,D,1,Pobeda,DP 6929,Makhachkala,MCX
SVO,2026-08-01,00:55,00:53,C,125,Aeroflot,SU 2176,Dalaman,DLM
SVO,2026-08-01,01:00,02:07,B,110,Aeroflot,SU 1382,Khanty-Mansiysk,HMA
SVO,2026-08-01,01:00,02:22,B,114,"Rossiya,Aeroflot","FV 6699,SU 6699",Saint-Petersburg,LED
SVO,2026-08-01,01:00,02:04,C,131,Aeroflot,SU 2170,Istanbul,IST
SVO,2026-08-01,01:05,00:58,B,107,Aeroflot,SU 1306,Novosibirsk,OVB
SVO,2026-08-01,01:05,01:44,C,146,Aeroflot,SU 438,Sharm el Sheikh,SSH
SVO,2026-08-01,01:10,01:10,C,135,Aeroflot,SU 2164,Antalya,AYT
SVO,2026-08-01,01:10,01:17,C,137,Southwind,2S 12,Antalya,AYT
SVO,2026-08-01,01:15,01:23,C,132,Aeroflot,SU 2118,Bodrum,BJV
SVO,2026-08-01,01:15,02:26,C,139,Southwind,2S 172,Dalaman,DLM
SVO,2026-08-01,01:15,01:43,C,144,Aeroflot,SU 1966,Yerevan,EVN
SVO,2026-08-01,01:20,01:25,B,103,Aeroflot,SU 1708,Vladivostok,VVO
SVO,2026-08-01,01:25,02:05,C,138,Air Cairo,SM 946,Sharm el Sheikh,SSH
SVO,2026-08-01,01:25,03:58,D,17,Pobeda,DP 5511,Perm,PEE
SVO,2026-08-01,01:30,01:30,B,104,Aeroflot,SU 1426,Chelyabinsk,CEK
SVO,2026-08-01,01:30,02:18,B,113,"Rossiya,Aeroflot","FV 6907,SU 6907",Chelyabinsk,CEK
SVO,2026-08-01,01:30,01:56,B,117,Aeroflot,SU 1562,Irkutsk,IKT
SVO,2026-08-01,01:40,02:19,B,102,Aeroflot,SU 1512,Surgut,SGC
SVO,2026-08-01,01:45,01:40,B,115,Aeroflot,SU 1472,Nizhnevartovsk,NJC
SVO,2026-08-01,01:45,01:45,D,16,Smartavia,5N 231,Orenburg,REN
SVO,2026-08-01,01:50,01:47,C,130,Aeroflot,SU 1936,Qaraghandy,KGF
SVO,2026-08-01,01:50,03:25,C,142,Royal Air Maroc,AT 223,Casablanca,CMN
SVO,2026-08-01,01:55,02:34,B,118,Aeroflot,SU 1582,Gorno-Altaysk,RGK
SVO,2026-08-01,02:10,02:09,B,103,Aeroflot,SU 1054,Makhachkala,MCX
SVO,2026-08-01,02:15,02:14,C,129,Aeroflot,SU 2148,Antalya,AYT
SVO,2026-08-01,02:20,02:23,B,106,Aeroflot,SU 1466,Ekaterinburg,SVX
SVO,2026-08-01,02:20,02:17,B,108,Aeroflot,SU 1172,Astrakhan,ASF
SVO,2026-08-01,02:25,02:30,B,101,Aeroflot,SU 1074,Sochi,AER
SVO,2026-08-01,02:30,02:50,C,127,AlMasria,UJ 612,Sharm el Sheikh,SSH
SVO,2026-08-01,02:40,02:40,C,141,Aeroflot,SU 428,Sharm el Sheikh,SSH
SVO,2026-08-01,02:55,02:52,B,103,"Rossiya,Aeroflot","FV 6591,SU 6591",Perm,PEE
SVO,2026-08-01,02:55,03:23,C,135,Air Serbia,JU 137,Belgrade,BEG
SVO,2026-08-01,04:25,04:18,C,144,"Rossiya,Aeroflot","FV 6953,SU 6953",Antalya,AYT
SVO,2026-08-01,04:40,04:33,C,126,Aeroflot,SU 524,Dubai,DXB
SVO,2026-08-01,04:50,04:49,C,130,Aeroflot,SU 244,Mahe Island,SEZ
SVO,2026-08-01,04:55,04:54,B,118,Aeroflot,SU 1110,Sochi,AER
SVO,2026-08-01,06:00,10:09,B,115,"Rossiya,Aeroflot","FV 6299,SU 6299",Nizhnekamsk,NBC
SVO,2026-08-01,06:00,05:53,B,119,"Rossiya,Aeroflot","FV 6075,SU 6075",Ulyanovsk,ULV
SVO,2026-08-01,06:10,06:07,B,101,Aeroflot,SU 1318,Murmansk,MMK
SVO,2026-08-01,06:10,06:09,B,104,Aeroflot,SU 1256,Krasnodar,KRR
SVO,2026-08-01,06:30,06:30,B,103,Aeroflot,SU 1410,Ekaterinburg,SVX
SVO,2026-08-01,06:30,06:26,B,115,Aeroflot,SU 1242,Orenburg,REN
SVO,2026-08-01,06:30,07:00,C,138,Pyramids Airlines,5P 13,Monastir,MIR
SVO,2026-08-01,06:35,06:30,B,113,Aeroflot,SU 1000,Kaliningrad,KGD
SVO,2026-08-01,06:40,09:45,C,130,"Pegas Fly,Nordwind","EO 1293,N4 1293",Sokhumi,SUI
SVO,2026-08-01,06:45,06:44,B,102,Aeroflot,SU 1266,Krasnodar,KRR
SVO,2026-08-01,06:45,06:38,B,116,Aeroflot,SU 1154,Gelendzhik,GDZ
SVO,2026-08-01,06:45,08:06,D,3,Pobeda,DP 6823,Saint-Petersburg,LED
SVO,2026-08-01,06:50,06:53,D,1,Pobeda,DP 6961,Astrakhan,ASF
SVO,2026-08-01,06:50,06:52,D,3,Pobeda,DP 6903,Magas,IGT
SVO,2026-08-01,06:55,10:49,B,102,"Rossiya,Aeroflot","FV 6491,SU 6491",Saratov,GSV
SVO,2026-08-01,06:55,10:16,D,1,Pobeda,DP 6809,Kirov,KVX
SVO,2026-08-01,07:00,07:00,B,101,Aeroflot,SU 1534,Chelyabinsk,CEK
SVO,2026-08-01,07:00,06:53,B,114,"Rossiya,Aeroflot","FV 6223,SU 6223",Chelyabinsk,CEK
SVO,2026-08-01,07:00,07:03,C,139,Air Cairo,SM 790,Sharm el Sheikh,SSH
SVO,2026-08-01,07:05,07:05,B,101,Aeroflot,SU 1782,Izhevsk,IJK
SVO,2026-08-01,07:05,07:02,C,145,Aeroflot,SU 520,Dubai,DXB
SVO,2026-08-01,07:05,10:33,D,3,Pobeda,DP 6965,Volgograd,VOG
SVO,2026-08-01,07:10,07:03,B,104,Aeroflot,SU 1152,Sochi,AER
SVO,2026-08-01,07:10,10:08,D,1,Pobeda,DP 6911,Mineralnyye Vody,MRV
SVO,2026-08-01,07:10,10:02,D,3,Pobeda,DP 6863,Saratov,GSV
SVO,2026-08-01,07:15,09:13,B,115,"Rossiya,Aeroflot","FV 6351,SU 6351",Nizhniy Novgorod,GOJ
SVO,2026-08-01,07:20,07:14,B,105,Aeroflot,SU 1032,Kaliningrad,KGD
SVO,2026-08-01,07:20,07:14,C,128,Aeroflot,SU 2172,Istanbul,IST
SVO,2026-08-01,07:25,07:22,B,109,Aeroflot,SU 1180,Volgograd,VOG
SVO,2026-08-01,07:25,10:11,B,114,Aeroflot,SU 1270,Kazan,KZN
SVO,2026-08-01,07:30,07:26,B,101,"Rossiya,Aeroflot","FV 6811,SU 6827,SU 6811",Saransk,SKX
SVO,2026-08-01,07:30,07:27,B,102,Aeroflot,SU 1444,Irkutsk,IKT
SVO,2026-08-01,07:30,09:21,D,3,Pobeda,DP 6837,Kaliningrad,KGD
SVO,2026-08-01,07:35,07:31,C,129,Aeroflot,SU 2142,Antalya,AYT
SVO,2026-08-01,07:40,07:35,B,106,Aeroflot,SU 1366,Stavropol,STW
SVO,2026-08-01,07:40,07:31,B,122,Aeroflot,SU 1132,Sochi,AER
SVO,2026-08-01,07:45,07:44,C,143,Aeroflot,SU 2120,Bodrum,BJV
SVO,2026-08-01,07:45,09:05,D,1,Pobeda,DP 6915,Mineralnyye Vody,MRV
SVO,2026-08-01,07:45,12:43,D,3,Pobeda,DP 6583,Samara,KUF
SVO,2026-08-01,07:50,08:20,B,117,Aeroflot,SU 1678,Astrakhan,ASF
SVO,2026-08-01,07:50,07:44,B,121,Aeroflot,SU 1052,Makhachkala,MCX
SVO,2026-08-01,07:50,07:48,C,135,Royal Air Maroc,AT 221,Casablanca,CMN
SVO,2026-08-01,07:55,07:49,B,102,"Rossiya,Aeroflot","FV 6405,SU 6405",Syktyvkar,SCW
SVO,2026-08-01,07:55,07:53,B,104,Aeroflot,SU 1176,Sochi,AER
SVO,2026-08-01,07:55,07:51,B,111,Aeroflot,SU 1264,Krasnodar,KRR
SVO,2026-08-01,08:00,08:00,B,104,"Rossiya,Aeroflot","FV 6127,SU 6955,SU 6127",Saint-Petersburg,LED
SVO,2026-08-01,08:00,14:06,D,3,Pobeda,DP 6841,Kazan,KZN
SVO,2026-08-01,08:05,08:03,B,103,Aeroflot,SU 1304,Mineralnyye Vody,MRV
SVO,2026-08-01,08:10,08:04,B,113,"Rossiya,Aeroflot","FV 6503,SU 6503",Arkhangelsk,ARH
SVO,2026-08-01,08:10,08:15,C,130,Aeroflot,SU 1860,Yerevan,EVN
SVO,2026-08-01,08:15,08:15,B,123,"Rossiya,Aeroflot","FV 6309,SU 6309",Kaliningrad,KGD
SVO,2026-08-01,08:20,09:49,B,116,Aeroflot,SU 1042,Sochi,AER
SVO,2026-08-01,08:20,08:18,C,142,Aeroflot,SU 422,Hurghada,HRG
SVO,2026-08-01,08:25,08:21,B,119,Aeroflot,SU 1108,Krasnodar,KRR
SVO,2026-08-01,08:25,10:30,B,121,Aeroflot,SU 1210,Samara,KUF
SVO,2026-08-01,08:30,08:30,B,102,Aeroflot,SU 1200,Perm,PEE
SVO,2026-08-01,08:35,08:31,B,101,Aeroflot,SU 1400,Ekaterinburg,SVX
SVO,2026-08-01,08:40,08:38,B,115,Aeroflot,SU 1148,Gelendzhik,GDZ
SVO,2026-08-01,08:45,08:44,B,118,Aeroflot,SU 1498,Grozny,GRV
SVO,2026-08-01,08:45,08:45,C,141,Aeroflot,SU 2136,Istanbul,IST
SVO,2026-08-01,08:50,09:08,B,103,"Rossiya,Aeroflot","FV 6415,SU 6415",Volgograd,VOG
SVO,2026-08-01,08:50,13:16,D,1,Pobeda,DP 6807,Cheboksary,CSY
SVO,2026-08-01,08:55,08:48,B,108,Aeroflot,SU 1538,Tomsk,TOF
SVO,2026-08-01,08:55,08:47,D,14,Smartavia,5N 251,Kaliningrad,KGD
