airport,flight_date,scheduled_time,actual_time,terminal,gate,airlines,flight_numbers,destination,destination_iata
SVO,2026-06-09,00:05,00:22,B,103,Aeroflot,SU 1424,Ufa,UFA
SVO,2026-06-09,00:05,23:58,B,105,Aeroflot,SU 1484,Krasnoyarsk,KJA
SVO,2026-06-09,00:05,00:05,C,130,Aeroflot,SU 1942,Almaty,ALA
SVO,2026-06-09,00:10,00:15,B,106,Aeroflot,SU 1524,Gorno-Altaysk,RGK
SVO,2026-06-09,00:15,00:11,B,115,Aeroflot,SU 1478,Abakan,ABA
SVO,2026-06-09,00:20,00:15,C,132,Aeroflot,SU 1834,Minsk,MSQ
SVO,2026-06-09,00:20,00:22,D,3,Pobeda,DP 6541,Ekaterinburg,SVX
SVO,2026-06-09,00:25,00:22,C,131,Aeroflot,SU 2128,Antalya,AYT
SVO,2026-06-09,00:25,00:43,D,1,Pobeda,DP 6511,Perm,PEE
SVO,2026-06-09,00:30,00:19,B,101,"Rossiya,Aeroflot","FV 6951,SU 6951",Saint-Petersburg,LED
SVO,2026-06-09,00:30,00:24,B,113,Aeroflot,SU 1092,Chelyabinsk,CEK
SVO,2026-06-09,00:35,00:35,B,107,Aeroflot,SU 1568,Tyumen,TJM
SVO,2026-06-09,00:35,00:34,B,121,Aeroflot,SU 1244,Orenburg,REN
SVO,2026-06-09,00:40,00:40,B,102,Aeroflot,SU 1638,Omsk,OMS
SVO,2026-06-09,00:40,00:34,B,120,Aeroflot,SU 1430,Barnaul,BAX
SVO,2026-06-09,00:45,00:39,B,118,Aeroflot,SU 1428,Magnitogorsk,MQF
SVO,2026-06-09,00:45,01:50,D,1,Pobeda,DP 6569,Chelyabinsk,CEK
SVO,2026-06-09,00:55,00:50,B,117,Aeroflot,SU 1482,Krasnoyarsk,KJA
SVO,2026-06-09,01:00,00:55,B,110,Aeroflot,SU 1382,Khanty-Mansiysk,HMA
SVO,2026-06-09,01:00,01:00,C,138,Aeroflot,SU 2170,Istanbul,IST
SVO,2026-06-09,01:05,01:00,B,122,Aeroflot,SU 1306,Novosibirsk,OVB
SVO,2026-06-09,01:05,01:04,C,140,Ariana Afghan,FG 708,Kabul,KBL
SVO,2026-06-09,01:15,01:15,C,130,Aeroflot,SU 1966,Yerevan,EVN
SVO,2026-06-09,01:20,01:27,B,103,Aeroflot,SU 1708,Vladivostok,VVO
SVO,2026-06-09,01:30,01:24,B,109,Aeroflot,SU 1562,Irkutsk,IKT
SVO,2026-06-09,01:30,01:20,B,119,Aeroflot,SU 1426,Chelyabinsk,CEK
SVO,2026-06-09,01:40,02:11,B,112,Aeroflot,SU 1512,Surgut,SGC
SVO,2026-06-09,01:40,01:36,C,127,Aeroflot,SU 424,Hurghada,HRG
SVO,2026-06-09,01:50,01:45,C,142,Aeroflot,SU 1936,Qaraghandy,KGF
SVO,2026-06-09,02:10,02:04,B,114,Aeroflot,SU 1054,Makhachkala,MCX
SVO,2026-06-09,02:15,02:15,C,126,Aeroflot,SU 2148,Antalya,AYT
SVO,2026-06-09,02:20,02:15,B,107,Aeroflot,SU 1172,Astrakhan,ASF
SVO,2026-06-09,02:20,02:20,B,108,Aeroflot,SU 1466,Ekaterinburg,SVX
SVO,2026-06-09,02:25,02:25,B,123,Aeroflot,SU 1074,Sochi,AER
SVO,2026-06-09,02:45,03:58,C,140,Corendon Air,XC 9111,Antalya,AYT
SVO,2026-06-09,02:55,02:53,B,104,"Rossiya,Aeroflot","FV 6591,SU 6591",Perm,PEE
SVO,2026-06-09,02:55,02:54,B,122,Aeroflot,SU 1250,Nizhnekamsk,NBC
SVO,2026-06-09,02:55,02:55,C,145,Air Serbia,JU 137,Belgrade,BEG
