airport,flight_date,scheduled_time,actual_time,terminal,gate,airlines,flight_numbers,destination,snapshots_seen,review,review_reason
DME,2026-05-28,21:40,,,,S7 Airlines,S7 2593,Абакан,4,1,исчез из табло на статусе registration; гейт ни в одном снимке не был зафиксирован
DME,2026-05-28,21:30,,,E8,Ethiopian Airlines,ET 761,Аддис-Абеба,11,1,исчез из табло на статусе scheduled
DME,2026-05-28,23:30,,,,Уральские авиалинии,U6 3559,Анталья,1,1,исчез из табло на статусе registration; гейт ни в одном снимке не был зафиксирован
DME,2026-05-28,08:45,,,E19,S7 3745S7 Airlines,,Анталья,9,0,
DME,2026-05-28,11:10,,,E7,S7 3747S7 Airlines,,Анталья,11,0,
DME,2026-05-28,10:35,,,E19,S7 3235S7 Airlines,,Ашхабад,11,0,
DME,2026-05-28,12:45,,,E9,J2 182Азербайджан Хава Йоллары,,Баку,11,0,
DME,2026-05-28,22:55,,,C14,S7 Airlines,S7 2601,Барнаул,5,1,исчез из табло на статусе registration
DME,2026-05-28,22:10,,,D4,Уральские авиалинии,U6 651,Барнаул,5,1,исчез из табло на статусе registration
DME,2026-05-28,10:40,,,,K9 702TEZ Jet,,Бишкек,11,1,неизвестный финальный статус: unknown; гейт ни в одном снимке не был зафиксирован
DME,2026-05-28,22:10,,,E3,Avia Traffic Company,YK 960,Бишкек,5,1,исчез из табло на статусе scheduled
DME,2026-05-28,23:50,,,,S7 Airlines,S7 3061,Благовещенск,1,1,исчез из табло на статусе registration; гейт ни в одном снимке не был зафиксирован
DME,2026-05-28,17:45,,,D6,Уральские авиалинии,U6 299,Благовещенск,10,0,
DME,2026-05-28,21:05,,,D7,Уральские авиалинии,U6 349,Благовещенск,11,1,исчез из табло на статусе registration
DME,2026-05-28,23:45,,,,S7 Airlines,S7 3041,Братск,1,1,исчез из табло на статусе registration; гейт ни в одном снимке не был зафиксирован
DME,2026-05-28,11:35,,,C12,S7 2153S7 Airlines,,Владикавказ,11,0,
DME,2026-05-28,10:15,,,D6,U6 1387Уральские авиалинии,,Владикавказ,11,0,
DME,2026-05-28,11:15,,,C7,S7 2145S7 Airlines,,Волгоград,11,0,
DME,2026-05-28,09:40,,,D13,U6 115Уральские авиалинии,,Геленджик,9,0,
DME,2026-05-28,22:50,,,C13,S7 Airlines,S7 2629,Горно-Алтайск,5,1,исчез из табло на статусе registration
DME,2026-05-28,11:10,,,D9,U6 427Уральские авиалинии,,Грозный,11,0,
DME,2026-05-28,16:25,,,E14,Emirates;S7 Airlines,EK 134;S7 4163,Дубай,10,0,
DME,2026-05-28,23:10,,,E14,Emirates;S7 Airlines,EK 132;S7 4161,Дубай,5,1,исчез из табло на статусе scheduled
DME,2026-05-28,23:45,,,,Уральские авиалинии,U6 271,Екатеринбург,5,1,исчез из табло на статусе registration; гейт ни в одном снимке не был зафиксирован
DME,2026-05-28,13:35,,,D11,U6 269Уральские авиалинии,,Екатеринбург,11,0,
DME,2026-05-28,10:00,,,D14,U6 261Уральские авиалинии,,Екатеринбург,20,0,
DME,2026-05-28,20:35,,,D6,Уральские авиалинии,U6 263,Екатеринбург,11,1,исчез из табло на статусе registration
DME,2026-05-28,08:25,,,D7,U6 273Уральские авиалинии,,Екатеринбург,9,0,
DME,2026-05-28,22:00,,,D7,Уральские авиалинии,U6 265,Екатеринбург,12,1,исчез из табло на статусе registration
DME,2026-05-28,20:10,,,,FLYONE Armenia,3F 316,Ереван,11,1,исчез из табло на статусе scheduled; гейт ни в одном снимке не был зафиксирован
DME,2026-05-28,22:00,,,E10,Уральские авиалинии,U6 2633,Ереван,12,1,исчез из табло на статусе scheduled
DME,2026-05-28,10:00,,,E3,3F 312FLYONE Armenia,,Ереван,20,0,
DME,2026-05-28,08:40,,,C4,I8 302Ижавиа,,Ижевск,9,0,
DME,2026-05-28,21:10,,,C4,Ижавиа,I8 308,Ижевск,11,1,исчез из табло на статусе registration
DME,2026-05-28,12:45,,,C12,S7 3021S7 Airlines,,Иркутск,11,0,
DME,2026-05-28,21:30,,,C13,S7 Airlines,S7 3017,Иркутск,11,1,исчез из табло на статусе registration
DME,2026-05-28,19:30,,,D13,Уральские авиалинии,U6 105,Иркутск,12,1,исчез из табло на статусе registration
