airport,flight_date,scheduled_time,actual_time,terminal,gate,airlines,flight_numbers,destination,snapshots_seen,review,review_reason
DME,2026-05-27,19:30,,,D11,U6 105Уральские авиалинии,,Иркутск,2,1,исчез из табло на статусе boarding
DME,2026-05-27,18:30,,,,S7 1055S7 Airlines,,Казань,2,1,гейт ни в одном снимке не был зафиксирован
DME,2026-05-27,19:55,,,E3,B2 956Белавиа,,Минск,2,1,исчез из табло на статусе boarding
DME,2026-05-27,19:45,,,C5,S7 2511S7 Airlines,,Новосибирск,2,1,исчез из табло на статусе boarding
DME,2026-05-27,19:45,,,C13,S7 1195S7 Airlines,,Пенза,2,1,исчез из табло на статусе boarding
DME,2026-05-27,18:15,,,,S7 1007S7 Airlines,,Санкт-Петербург,2,1,гейт ни в одном снимке не был зафиксирован
DME,2026-05-27,18:00,,,,U6 241Уральские авиалинии,,Сочи,2,1,гейт ни в одном снимке не был зафиксирован
DME,2026-05-27,18:20,,,,S7 4483El Al;S7 Airlines,LY 612,Тель-Авив,2,1,гейт ни в одном снимке не был зафиксирован
DME,2026-05-27,19:45,,,D4,U6 93Уральские авиалинии,,Чита,2,1,исчез из табло на статусе boarding
SVO,2026-05-27,19:45,,B,119,SU 6865Россия;Аэрофлот,FV 6865,Анадырь,2,1,исчез из табло на статусе boarding
SVO,2026-05-27,18:25,,D,,5N 217Smartavia,,Архангельск,2,1,гейт ни в одном снимке не был зафиксирован
SVO,2026-05-27,18:40,,B,115,SU 6993Россия;Аэрофлот,FV 6993,Архангельск,2,0,
SVO,2026-05-27,19:50,,D,3,DP 6963Победа,,Астрахань,2,1,исчез из табло на статусе boarding
SVO,2026-05-27,19:45,,C,141,JU 133Air Serbia,,Белград,2,1,исчез из табло на статусе boarding
SVO,2026-05-27,19:40,,B,110,SU 5802Аэрофлот,,Владивосток,2,1,исчез из табло на статусе boarding
SVO,2026-05-27,18:35,,B,122,SU 6279Россия;Аэрофлот,FV 6279,Владивосток,2,1,исчез из табло на статусе boarding
SVO,2026-05-27,19:30,,D,1,DP 6967Победа,,Волгоград,2,1,исчез из табло на статусе boarding
SVO,2026-05-27,19:15,,C,133,SU 220Аэрофлот,,Гуанчжоу,2,1,исчез из табло на статусе boarding
SVO,2026-05-27,19:10,,B,118,SU 1418Аэрофлот,,Екатеринбург,2,1,исчез из табло на статусе boarding
SVO,2026-05-27,18:55,,C,140,SU 1868Аэрофлот,,Ереван,2,0,
SVO,2026-05-27,19:05,,B,112,SU 6885Россия;Аэрофлот,FV 6885,Ижевск,2,1,исчез из табло на статусе boarding
SVO,2026-05-27,19:20,,B,117,SU 1194Аэрофлот,,Казань,2,1,исчез из табло на статусе boarding
SVO,2026-05-27,18:00,,B,,SU 6311Россия;Аэрофлот,FV 6311,Калининград,2,1,гейт ни в одном снимке не был зафиксирован
SVO,2026-05-27,18:35,,B,,SU 1006Аэрофлот,,Калининград,2,1,гейт ни в одном снимке не был зафиксирован
SVO,2026-05-27,18:45,,D,3,DP 6925Победа,,Махачкала,2,0,
SVO,2026-05-27,19:35,,B,108,SU 1314Аэрофлот,,Минеральные Воды,2,1,исчез из табло на статусе boarding
SVO,2026-05-27,18:40,,C,130,SU 1832Аэрофлот,,Минск,2,0,
SVO,2026-05-27,18:30,,D,1,DP 6855Победа,,Мурманск,2,1,исчез из табло на статусе boarding
SVO,2026-05-27,19:50,,B,103,SU 1322Аэрофлот,,Мурманск,2,1,исчез из табло на статусе boarding
SVO,2026-05-27,19:20,,C,132,SU 294Аэрофлот,,Нячанг,2,1,исчез из табло на статусе boarding
